smiles,capacity_max,flatness,PS,symmetry,%C,%N,%O,%F,MolLogP,num_atoms,num_heavy_atoms,num_bonds,num_rings,num_aromatic_rings,num_amide_bonds,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,num_conformers,is_chiral,is_aromatic,is_branched,is_cyclic,is_heterocycle,is_homocycle
Brc1ccc(Nc2nc(Nc3ccc(Br)s3)nc(Nc3ccc(Br)s3)n2)s1,407.0,0.024401499570716502,2.740099913324683,Cs,55.55555555555556,22.22222222222222,0.0,0.0,7.574400000000002,27,27,30,4,4,0,12,6,6,3,74.76,605.7600935880001,0,False,False,False,True,True,True
c1cc(-c2cc[n+](-c3nc(-[n+]4ccc(-c5ccncc5)cc4)nc(-[n+]4ccc(-c5ccncc5)cc4)n3)cc2)ccn1,196.0,1.0541997612434275,3.2467565050664016,C1,78.57142857142857,21.428571428571427,0.0,0.0,3.8877000000000024,42,42,48,7,7,0,9,6,9,0,88.98,546.2138210282701,0,False,False,False,True,True,True
Clc1nc(Cl)nc(-c2ccc(-c3cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)c3)cc2)n1,228.0,0.7487330862244844,3.798152211950628,C1,68.75,18.75,0.0,0.0,10.163999999999987,48,48,54,7,7,0,15,6,9,0,116.01,746.95815756,0,False,False,False,True,True,True
Nc1ccc2c(c1)C(=O)c1ccc(Nc3nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc1C2=O,468.0,0.7160608876477544,4.407568274836736,C1,75.0,15.0,10.0,0.0,6.175200000000004,60,60,69,10,7,0,15,6,15,9,255.24,789.208429584,0,False,False,False,True,True,True
Nc1nc(N)nc(/N=C/N2CCN(/C=N/c3nc(N)nc(N)n3)CC2)n1,335.0,1.100305216388302,2.944713145188431,C1,46.15384615384615,53.84615384615385,0.0,0.0,-1.9771999999999983,26,26,28,3,2,0,14,4,14,8,212.62,358.1838865760001,0,False,False,False,True,True,True
Nc1cc2nc3cc4nc5c6nc7cc8nc9cc(N)c(N)cc9nc8cc7nc6c6nc7cc8nc9cc(N)c(N)cc9nc8cc7nc6c5nc4cc3nc2cc1N,663.0,0.33505487902152464,4.216949589422305,C1,70.0,30.0,0.0,0.0,5.758200000000001,60,60,72,13,13,0,18,0,18,12,310.7999999999999,780.2431327679999,0,False,False,False,True,True,True
Nc1cccc2c(NC=C3C(=O)C(=CNc4cccc5c(N)cccc45)C(=O)C(=CNc4cccc5c(N)cccc45)C3=O)cccc12,379.0,1.5895673650066642,3.5998354137445148,C1,81.25,12.5,6.25,0.0,6.901500000000003,48,48,54,7,6,0,9,6,9,9,165.35999999999999,630.2379388200002,0,False,False,False,True,True,True
Nc1ccc(-c2ccc3[nH]c(-c4cc(-c5nc6ccc(-c7ccc(N)c(N)c7)cc6[nH]5)cc(N5C(=O)c6ccc7c8c(ccc(c68)C5=O)C(=O)N(c5cc(-c6nc8cc(-c9ccc(N)c(N)c9)ccc8[nH]6)cc(-c6nc8ccc(-c9ccc(N)c(N)c9)cc8[nH]6)c5)C7=O)c4)nc3c2)cc1N,66.56,4.144043363640195,6.43497197655673,C1,78.0,18.0,4.0,0.0,13.939799999999988,100,100,117,18,16,4,22,10,22,20,397.64,1306.4575422079997,0,False,False,False,True,True,True
Nc1ccc(-c2ccc3[nH]c(-c4cc(-c5nc6ccc(-c7ccc(N)c(N)c7)cc6[nH]5)cc(N5C(=O)c6ccc7c8ccc9c%10c(ccc(c%11ccc(c6c7%11)C5=O)c%108)C(=O)N(c5cc(-c6nc7cc(-c8ccc(N)c(N)c8)ccc7[nH]6)cc(-c6nc7ccc(-c8ccc(N)c(N)c8)cc7[nH]6)c5)C9=O)c4)nc3c2)cc1N,5.65,3.249418539358991,7.592868112887456,C1,80.0,16.363636363636363,3.6363636363636362,0.0,16.83719999999998,110,110,130,21,19,4,22,10,22,20,397.64,1430.4888423359998,0,False,False,False,True,True,True
Nc1ccc(-c2ccc3nc(-c4cc(C(=O)O)cc(-n5c(=O)c6cc7c(=O)n(-c8cc(C(=O)O)cc(C(=O)O)c8)c(=O)c7cc6c5=O)c4)[nH]c3c2)cc1N,88.4,1.4989189965276397,5.121516241736471,C1,70.37037037037037,11.11111111111111,18.51851851851852,0.0,3.3601,54,54,61,8,8,0,16,7,16,8,270.75999999999993,722.139740904,0,False,False,False,True,True,True
