smiles,capacity_max,flatness,PS,symmetry,%C,%N,%O,MolLogP,num_atoms,num_bonds,num_aromatic_rings,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,experts_data
C#CC(C=C1)=CC=C1C#N,628.0,0.15849432696972715,1.5274709327490539,C2v,90.0,10.0,0.0,1.53958,10,10,1,1,0,1,0,23.79,127.04219916,True
CC(C)C(C=C1)=CC=C1N2C(C=C(C3=CC=C(C#N)C=C3)N4C5=CC=C(C(C)C)C=C5)=C4C=C2C6=CC=C(C#N)C=C6,255.0,1.7502658061965015,3.422302684022821,C1,90.47619047619048,9.523809523809524,0.0,9.745359999999996,42,47,6,4,6,4,0,57.44,544.2626970240001,True
CC1=CC2=C(C=C1)N=C(N3C(C4=CC=C(C#N)C=C4)=CC5=C3C=C(C6=CC=C(C#N)C=C6)N5C7=NC(C=CC(C)=C8)=C8S7)S2,269.0,1.6749136598289933,3.444589060833882,C1,81.81818181818183,13.636363636363635,0.0,9.334799999999998,44,51,8,8,4,6,0,83.22000000000001,602.1347367040001,True
ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,228.0,0.7324653194790345,2.8535151250598787,C1,84.375,9.375,0.0,7.846400000000005,32,36,5,5,4,3,0,38.67,453.0799529040001,True
ClC1=NC([N+](C=C2)=CC=C2C3=CC=NC=C3)=NC(Cl)=N1,196.0,0.6905512449865353,2.2036333190747284,C1,65.0,25.0,0.0,2.5171,20,22,3,7,2,5,0,55.44,304.01512703609,True
FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,379.0,0.013632407173650007,1.525032807839302,D2h,57.14285714285714,14.285714285714285,0.0,1.9863600000000001,14,14,1,6,0,2,0,47.58,199.99976088,True
N#C/C(C#N)=C(C=C/1)/C=CC1=C(C#N)/C#N,383.0,0.3418123704661705,1.7848019334249252,C2v,75.0,25.0,0.0,0.08231999999999995,16,16,1,4,0,4,0,95.16,204.043596128,True
N#C/C=C/C#N,404.0,0.028830661811112945,1.1353238475136982,C2h,66.66666666666666,33.33333333333333,0.0,0.5897599999999998,6,5,0,2,0,2,0,47.58,78.021798064,True
N#CC(C=C1)=CC=C1C2=CC3=C(C=C(C4=CC=C(C#N)C=C4)N3C5=CC=C(C#N)C=C5)N2C6=CC=C(C#N)C=C6,291.0,1.6888775981205033,3.4223314856534204,C1,85.0,15.0,0.0,7.241920000000007,40,45,6,6,4,6,0,105.01999999999998,510.1592945760001,True
N#CC1=C(C=CC2=C(C#N)C=C3C#N)C4=C2C3=CC=C4C(C#N)=C1,500.0,0.2515077322199071,2.072188518152457,D2h,83.33333333333334,16.666666666666664,0.0,4.070720000000002,24,27,4,4,0,4,0,95.16,302.05924619200005,True
N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,589.0,0.1458549951529579,1.5310091860766042,D2h,88.88888888888889,11.11111111111111,0.0,3.7363600000000012,18,20,3,2,0,2,0,47.58,228.068748256,True
N#CC1=CC=C(C#N)C=C1,298.0,0.032157072589925825,1.5200618617859212,D2h,80.0,20.0,0.0,1.4299600000000001,10,10,1,2,0,2,0,47.58,128.037448128,True
N#CC1=CC=C(C2=CC=C(C#N)C=C2)C=C1,280.0,0.7780783803240954,2.3452691332331512,D2,87.5,12.5,0.0,3.096960000000001,16,17,2,2,1,2,0,47.58,204.068748256,True
N#CC1=CC=C(C2=CC=C(C#N)C=N2)N=C1,393.0,0.33583157117342965,2.318424592759696,C2v,75.0,25.0,0.0,1.8869599999999995,16,17,2,4,1,4,0,73.36,206.059246192,True
N#CC1=CC=CC(C#N)=N1,406.0,0.00432125394577255,1.2912116051042744,C2v,70.0,30.0,0.0,0.8249599999999999,10,10,1,3,0,3,0,60.47,129.032697096,True
NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=C4C=C(C(OC6=O)=O)C6=C5)=O)C=C3)=NC(C7=CC=C(N)C=C7)=N2,423.0,0.9822678660024016,3.578277222430097,C1,73.80952380952381,14.285714285714285,11.904761904761903,3.0435000000000008,42,48,7,11,4,11,4,177.06,554.1338676759999,True
NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=CC=C6C7=C5C4=CC=C7C(OC6=O)=O)=O)C=C3)=NC(C8=CC=C(N)C=C8)=N2,388.0,1.049580637482598,3.7176786084442908,C1,76.08695652173914,13.043478260869565,10.869565217391305,5.3014000000000046,46,53,6,11,4,11,4,171.46000000000004,604.1495177399999,True
NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2,310.0,1.2285777726298315,3.505300906992647,C1,67.5,22.5,10.0,3.008800000000001,40,44,5,13,7,13,6,216.34000000000003,533.156000088,True
NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4O)N=C3)=NC(C5=CN=C(N)C=C5)=N2,400.0,1.13355311681049,3.1426055074420782,C1,65.85365853658537,21.951219512195124,12.195121951219512,2.7143999999999995,41,45,5,14,7,14,7,236.57,549.150914708,True
NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=CC(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2,546.0,1.0099395636779351,3.6615462938571057,C1,69.23076923076923,23.076923076923077,7.6923076923076925,3.3032000000000004,39,43,5,12,7,12,5,196.11,517.1610854680001,True
NC1=C(O)C=C(N=CC(C=C2)=CC=C2C3=NC(C4=CC=C(C=O)C=C4)=NC(C5=CC=C(C=O)C=C5)=N3)C(O)=C1,256.0,0.976839431822888,3.1390677837135077,C1,76.92307692307693,12.82051282051282,10.256410256410255,5.241600000000005,39,43,5,9,7,9,4,151.65,515.159354152,True
NC1=NC(N=CN(CC2)CCN2C=O)=NC(N)=N1,335.0,0.8904429049034824,2.2706591605655824,C1,50.0,44.44444444444444,5.555555555555555,-1.5301999999999982,18,19,1,9,3,9,4,126.61999999999999,250.12905706799998,True
O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,256.0,1.2284452885921353,3.7817365421917466,C1,70.58823529411765,17.647058823529413,11.76470588235294,1.4147599999999994,34,38,5,10,2,10,2,157.29999999999998,448.09200286400005,True
O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,231.0,0.9286564149752865,3.875050837623912,C1,75.0,12.5,12.5,1.6341599999999998,32,36,5,8,2,8,0,125.71999999999997,418.07020479999994,True
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,38.0,1.6697383672569537,2.8560732508168565,C1,54.54545454545454,0.0,45.45454545454545,-13.054800000000025,66,72,0,30,6,30,18,474.90000000000015,972.3169405200002,False
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,175.0,1.3147746206629891,1.7609502663141772,C1,52.17391304347826,0.0,47.82608695652174,-5.397199999999994,23,24,0,11,4,11,8,189.52999999999997,342.11621152399994,False
C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=CC=C(C(C=C5)=CC=C5N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=C1,300.0,1.20454736047102,3.2158590219118444,C1,94.73684210526315,5.263157894736842,0.0,9.547799999999995,38,45,8,2,3,2,0,9.86,484.193948768,False
