smiles,capacity_max,flatness,PS,symmetry,%C,%N,%O,%F,MolLogP,num_atoms,num_heavy_atoms,num_bonds,num_rings,num_aromatic_rings,num_amide_bonds,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,num_conformers,is_chiral,is_aromatic,is_branched,is_cyclic,is_heterocycle,is_homocycle
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,38.0,1.6697383672569537,2.8560732508168565,C1,54.54545454545454,0.0,45.45454545454545,0.0,-13.054800000000025,66,66,72,22,0,0,30,6,30,18,474.90000000000015,972.3169405200002,0,False,False,False,True,True,True
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,175.0,1.3147746206629891,1.7609502663141772,C1,52.17391304347826,0.0,47.82608695652174,0.0,-5.397199999999994,23,23,24,2,0,0,11,4,11,8,189.52999999999997,342.11621152399994,0,False,False,False,True,True,True
C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=CC=C(C(C=C5)=CC=C5N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=C1,300.0,1.20454736047102,3.2158590219118444,C1,94.73684210526315,5.263157894736842,0.0,0.0,9.547799999999995,38,38,45,8,8,0,2,3,2,0,9.86,484.193948768,0,False,False,False,True,True,True
C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=CC=C(N(C(C=C5)=CC=C5N6C(C=CC=C7)=C7C8=C6C=CC=C8)C(C=C9)=CC=C9N%10C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)C=C1,380.0,1.6686224241438237,3.4031886739307695,C1,93.10344827586206,6.896551724137931,0.0,0.0,14.447699999999973,58,58,69,12,12,0,4,6,4,0,18.03,740.293997152,0,False,False,False,True,True,True
C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=NC(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=NC(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=N1,550.0,2.1711574650907197,2.4329404076664014,C1,86.66666666666667,13.333333333333334,0.0,0.0,9.162899999999997,45,45,54,10,10,0,6,3,6,0,53.46,576.206244768,0,False,False,False,True,True,True
C=CC#N,270.0,0.021356164150974792,0.6616233214585028,Cs,75.0,25.0,0.0,0.0,0.6959799999999999,4,4,3,0,0,0,1,0,1,0,23.79,53.026549096,0,False,False,False,True,True,True
N#CCC[N+]1=CN(CCCCCCCCC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,112.0,1.201049402972725,3.440484801107499,C1,43.859649122807014,14.035087719298245,14.035087719298245,21.052631578947366,5.241460000000006,57,57,56,2,2,0,32,18,16,0,229.95999999999992,928.1034326240001,0,False,False,False,True,True,True
N#CCC[N+]1=CN(CCCCCC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,104.0,1.204220932399002,2.839665162357288,C1,40.74074074074074,14.814814814814813,14.814814814814813,22.22222222222222,4.071160000000003,54,54,53,2,2,0,32,15,16,0,229.95999999999992,886.0564824320002,0,False,False,False,True,True,True
N#CCC[N+]1=CN(CC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(C(F)(F)F)F)=O)(C(F)(C(F)(F)F)F)=O.O=S([N-]S(=O)(C(F)(C(F)(F)F)F)=O)(C(F)(C(F)(F)F)F)=O,154.0,1.29832966000148,1.7745529243316605,C1,35.483870967741936,12.903225806451612,12.903225806451612,32.25806451612903,5.051960000000005,62,62,61,2,2,0,40,15,16,0,229.95999999999992,1029.9811079360002,0,False,False,False,True,True,True
N#CCC[N+]1=CN(CC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,131.0,1.2561264065355788,1.9500769530592774,C1,36.0,16.0,16.0,24.0,2.510760000000001,50,50,49,2,2,0,32,11,16,0,229.95999999999992,829.9938821760002,0,False,False,False,True,True,True
NC1=CC=CC=C1,386.2,0.24623832780556915,0.8016675428853711,C2v,85.71428571428571,14.285714285714285,0.0,0.0,1.2688000000000001,7,7,7,1,1,0,1,0,1,2,26.02,93.057849224,0,False,False,False,True,True,True
NC1=NC(N=CC2=CC=C(C=O)C=C2)=NC(N)=N1,289.0,0.9826761846850834,1.8237858819078039,C1,61.111111111111114,33.33333333333333,5.555555555555555,0.0,0.5990999999999999,18,18,19,2,2,0,7,3,7,4,120.14,242.09160894,0,False,False,False,True,True,True
O=C(C1=C(C(O[K])=O)C=CC=C1)O,300.4,0.10302038499849904,1.4399133741979067,C1,61.53846153846154,0.0,30.76923076923077,0.0,0.6251,13,13,13,1,1,0,5,2,4,1,63.60000000000001,203.98249032,0,False,False,False,True,True,True
O=C(C1=C2C=CC=C1)N(C3=CC=C(C#N)C=C3)N=C2C4=CC=C(C#N)C=C4,277.0,1.321296965286835,2.538456059072231,C1,81.48148148148148,14.814814814814813,3.7037037037037033,0.0,3.7960600000000024,27,27,30,4,4,0,5,2,5,0,82.47,348.101111004,0,False,False,False,True,True,True
O=C(CC(O)(C(O)=O)C1)O[Mg]OC1=O,236.5,1.0210646672077393,1.2373330156163038,C1,42.857142857142854,0.0,50.0,0.0,-1.7835,14,14,14,1,0,0,8,1,7,2,110.13,213.99639423200003,0,False,False,False,True,True,True
O=C(O[Na])C(O[Na])=O,245.0,0.0001181839842450131,1.409962267836306,C2h,25.0,0.0,50.0,0.0,-1.7602000000000002,8,8,7,0,0,0,6,0,4,0,52.6,133.95919704,0,False,False,False,True,True,True
O=C([O-])C1=CC=C(C2=O[Zn]3OC(C4=CC=C(C([O-])=O)C=C4)=O[Zn+](O=C(O[Zn]5)C6=CC=C(C([O-])=O)C=C6)[O+4]35[Zn]O2)C=C1,312.0,0.9787868596509932,3.7963839057960236,C1,58.536585365853654,0.0,31.70731707317073,0.0,-1.064799999999999,41,41,46,3,3,0,17,12,13,0,181.97999999999996,763.74326208418,0,False,False,False,True,True,True
OC1=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=CC(O)=C1,378.5,0.7507090413891236,2.3806288398921254,C1,63.1578947368421,15.789473684210526,21.052631578947366,0.0,3.421400000000001,19,19,20,2,2,0,7,3,7,2,108.32000000000001,259.059305768,0,False,False,False,True,True,True
OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,175.2,1.308745017121187,2.1764509104705168,C1,60.0,0.0,32.0,0.0,0.5804,25,25,26,2,2,0,10,4,8,4,133.51999999999998,395.96498063999996,0,False,False,False,True,True,True
OC1=C(CC2=CC=CC=C2O)C=CC=C1,307.0,1.223074545303616,1.3867032825328391,C2,86.66666666666667,0.0,13.333333333333334,0.0,2.688600000000001,15,15,16,2,2,0,2,2,2,2,40.46,200.083729624,0,False,False,False,True,True,True
