smiles,capacity_max,flatness,PS,symmetry,%C,%N,%O,%F,MolLogP,num_atoms,num_heavy_atoms,num_bonds,num_rings,num_aromatic_rings,num_amide_bonds,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,num_conformers,is_chiral,is_aromatic,is_branched,is_cyclic,is_heterocycle,is_homocycle
C#CC(C=C1)=CC=C1C#N,628.0,0.15849432696972715,1.5274709327490539,C2v,90.0,10.0,0.0,0.0,1.53958,10,10,10,1,1,0,1,0,1,0,23.79,127.04219916,0,False,False,False,True,True,True
CC(C)C(C=C1)=CC=C1N2C(C=C(C3=CC=C(C#N)C=C3)N4C5=CC=C(C(C)C)C=C5)=C4C=C2C6=CC=C(C#N)C=C6,255.0,1.7502658061965015,3.422302684022821,C1,90.47619047619048,9.523809523809524,0.0,0.0,9.745359999999996,42,42,47,6,6,0,4,6,4,0,57.44,544.2626970240001,0,False,False,False,True,True,True
CC1=CC2=C(C=C1)N=C(N3C(C4=CC=C(C#N)C=C4)=CC5=C3C=C(C6=CC=C(C#N)C=C6)N5C7=NC(C=CC(C)=C8)=C8S7)S2,269.0,1.6749136598289933,3.444589060833882,C1,81.81818181818183,13.636363636363635,0.0,0.0,9.334799999999998,44,44,51,8,8,0,8,4,6,0,83.22000000000001,602.1347367040001,0,False,False,False,True,True,True
ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,228.0,0.7324653194790345,2.8535151250598787,C1,84.375,9.375,0.0,0.0,7.846400000000005,32,32,36,5,5,0,5,4,3,0,38.67,453.0799529040001,0,False,False,False,True,True,True
ClC1=NC([N+](C=C2)=CC=C2C3=CC=NC=C3)=NC(Cl)=N1,196.0,0.6905512449865353,2.2036333190747284,C1,65.0,25.0,0.0,0.0,2.5171,20,20,22,3,3,0,7,2,5,0,55.44,304.01512703609,0,False,False,False,True,True,True
FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,379.0,0.013632407173650007,1.525032807839302,D2h,57.14285714285714,14.285714285714285,0.0,28.57142857142857,1.9863600000000001,14,14,14,1,1,0,6,0,2,0,47.58,199.99976088,0,False,False,False,True,True,True
N#C/C(C#N)=C(C=C/1)/C=CC1=C(C#N)/C#N,383.0,0.3418123704661705,1.7848019334249252,C2v,75.0,25.0,0.0,0.0,0.08231999999999995,16,16,16,1,1,0,4,0,4,0,95.16,204.043596128,0,False,False,False,True,True,True
N#C/C=C/C#N,404.0,0.028830661811112945,1.1353238475136982,C2h,66.66666666666666,33.33333333333333,0.0,0.0,0.5897599999999998,6,6,5,0,0,0,2,0,2,0,47.58,78.021798064,0,False,False,False,True,True,True
N#CC(C=C1)=CC=C1C2=CC3=C(C=C(C4=CC=C(C#N)C=C4)N3C5=CC=C(C#N)C=C5)N2C6=CC=C(C#N)C=C6,291.0,1.6888775981205033,3.4223314856534204,C1,85.0,15.0,0.0,0.0,7.241920000000007,40,40,45,6,6,0,6,4,6,0,105.01999999999998,510.1592945760001,0,False,False,False,True,True,True
N#CC1=C(C=CC2=C(C#N)C=C3C#N)C4=C2C3=CC=C4C(C#N)=C1,500.0,0.2515077322199071,2.072188518152457,D2h,83.33333333333334,16.666666666666664,0.0,0.0,4.070720000000002,24,24,27,4,4,0,4,0,4,0,95.16,302.05924619200005,0,False,False,False,True,True,True
N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,589.0,0.1458549951529579,1.5310091860766042,D2h,88.88888888888889,11.11111111111111,0.0,0.0,3.7363600000000012,18,18,20,3,3,0,2,0,2,0,47.58,228.068748256,0,False,False,False,True,True,True
N#CC1=CC=C(C#N)C=C1,298.0,0.032157072589925825,1.5200618617859212,D2h,80.0,20.0,0.0,0.0,1.4299600000000001,10,10,10,1,1,0,2,0,2,0,47.58,128.037448128,0,False,False,False,True,True,True
N#CC1=CC=C(C2=CC=C(C#N)C=C2)C=C1,280.0,0.7780783803240954,2.3452691332331512,D2,87.5,12.5,0.0,0.0,3.096960000000001,16,16,17,2,2,0,2,1,2,0,47.58,204.068748256,0,False,False,False,True,True,True
N#CC1=CC=C(C2=CC=C(C#N)C=N2)N=C1,393.0,0.33583157117342965,2.318424592759696,C2v,75.0,25.0,0.0,0.0,1.8869599999999995,16,16,17,2,2,0,4,1,4,0,73.36,206.059246192,0,False,False,False,True,True,True
N#CC1=CC=CC(C#N)=N1,406.0,0.00432125394577255,1.2912116051042744,C2v,70.0,30.0,0.0,0.0,0.8249599999999999,10,10,10,1,1,0,3,0,3,0,60.47,129.032697096,0,False,False,False,True,True,True
NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=C4C=C(C(OC6=O)=O)C6=C5)=O)C=C3)=NC(C7=CC=C(N)C=C7)=N2,423.0,0.9822678660024016,3.578277222430097,C1,73.80952380952381,14.285714285714285,11.904761904761903,0.0,3.0435000000000008,42,42,48,7,7,0,11,4,11,4,177.06,554.1338676759999,0,False,False,False,True,True,True
NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=CC=C6C7=C5C4=CC=C7C(OC6=O)=O)=O)C=C3)=NC(C8=CC=C(N)C=C8)=N2,388.0,1.049580637482598,3.7176786084442908,C1,76.08695652173914,13.043478260869565,10.869565217391305,0.0,5.3014000000000046,46,46,53,8,6,2,11,4,11,4,171.46000000000004,604.1495177399999,0,False,False,False,True,True,True
NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2,310.0,1.2285777726298315,3.505300906992647,C1,67.5,22.5,10.0,0.0,3.008800000000001,40,40,44,5,5,0,13,7,13,6,216.34000000000003,533.156000088,0,False,False,False,True,True,True
NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4O)N=C3)=NC(C5=CN=C(N)C=C5)=N2,400.0,1.13355311681049,3.1426055074420782,C1,65.85365853658537,21.951219512195124,12.195121951219512,0.0,2.7143999999999995,41,41,45,5,5,0,14,7,14,7,236.57,549.150914708,0,False,False,False,True,True,True
