zwiazek,smiles,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD
2CNPP,CC(C)C(C=C1)=CC=C1N2C(C=C(C3=CC=C(C#N)C=C3)N4C5=CC=C(C(C)C)C=C5)=C4C=C2C6=CC=C(C#N)C=C6,544.7,6,4,6,,1.9,0,1,500,1.6,3.6,1371,1.12,0.508,116,187,,
2CNPP,CC(C)C(C=C1)=CC=C1N2C(C=C(C3=CC=C(C#N)C=C3)N4C5=CC=C(C(C)C)C=C5)=C4C=C2C6=CC=C(C#N)C=C6,544.7,6,4,6,,1.9,0,1,600,4.3,3.6,1527,0.89,0.612,151,197,,
2CNPP,CC(C)C(C=C1)=CC=C1N2C(C=C(C3=CC=C(C#N)C=C3)N4C5=CC=C(C(C)C)C=C5)=C4C=C2C6=CC=C(C#N)C=C6,544.7,6,4,6,,1.9,0,1,700,6.4,3.6,1052,1.32,0.318,184,255,,
2CN-1 (terephtalonitrile),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,700,6.6,1.3,1612,1.1,0.551,204,200,,
4CN-1,N#C/C(C#N)=C(C=C/1)/C=CC1=C(C#N)/C#N,204.2,1,4,3,745,0.9,0,1,700,7.5,0.9,2260,1.71,0.621,294,303,,
2CN-2,CC1=CC2=C(C=C1)N=C(N3C(C4=CC=C(C#N)C=C4)=CC5=C3C=C(C6=CC=C(C#N)C=C6)N5C7=NC(C=CC(C)=C8)=C8S7)S2,602.7,8,6,6,,1.9,0,1,700,5.4,3.6,1835,0.82,0.819,250,269,,
4CN-2,N#CC(C=C1)=CC=C1C2=CC3=C(C=C(C4=CC=C(C#N)C=C4)N3C5=CC=C(C#N)C=C5)N2C6=CC=C(C#N)C=C6,510.6,6,6,6,,1.9,0,1,700,6.5,3.6,1962,1.36,0.632,255,291,,
"1,3,5-triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,800,,3.2,711,0.23,0.231,,,,112
"1,4-dicyanobenzene",N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,700,8.2,1.3,2581,,,171,,,
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,400,12.44,1.3,1175,0.66,,,248,,
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,450,11.06,1.3,1565,0.97,,,276,,
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,500,10.74,1.3,1681,1.1,,,285,,
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,550,9.26,1.3,1724,1.35,,,298,,
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,600,9.01,1.3,2197,2.05,,,263,,
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,650,7.77,1.3,2098,1.85,,,273,,
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,700,5.75,1.3,2237,2.26,,,243,,
" 4' -(1,3,5,7-tetraoxo-5,7-dihydropyrrolo[3,4-f]isoindole-
2,6(1H, 3H)-diyl)dibenzonitrile (TIDN)",O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,418.4,5,4,6,925,2,0,1,550,,3.9,1283,0.68,,210,,,
" 4' -(1,3,5,7-tetraoxo-5,7-dihydropyrrolo[3,4-f]isoindole-
2,6(1H, 3H)-diyl)dibenzonitrile (TIDN)",O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,418.4,5,4,6,925,2,0,1,600,,3.9,,,,231,,,
" 4' -(1,3,5,7-tetraoxo-5,7-dihydropyrrolo[3,4-f]isoindole-
2,6(1H, 3H)-diyl)dibenzonitrile (TIDN)",O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,418.4,5,4,6,925,2,0,1,650,,3.9,,,,202,,,
" 4' -(1,3,5,7-tetraoxo-5,7-dihydropyrrolo[3,4-f]isoindole-
2,6(1H, 3H)-diyl)dibenzonitrile (TIDN)",O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,418.4,5,4,6,925,2,0,1,700,,3.9,1527,0.89,,198,,,
"3,5-dicyanopyridine",N#CC1=CC(C#N)=CN=C1,129.1,1,3,3,454,0.6,0,1,400,28,0.6,680,0.3,0.26,,,,
"3,5-dicyanopyridine",N#CC1=CC(C#N)=CN=C1,129.1,1,3,3,454,0.6,0,1,500,23.5,0.6,1120,0.5,0.45,,,,
"3,5-dicyanopyridine",N#CC1=CC(C#N)=CN=C1,129.1,1,3,3,454,0.6,0,1,600,15.8,0.6,1940,0.93,0.8,,,,
"3,5-dicyanopyridine",N#CC1=CC(C#N)=CN=C1,129.1,1,3,3,454,0.6,0,1,700,12.7,0.6,3120,1.66,1.08,,,,
"cyanuric chloride, 2,6-diaminanthraquinone",ClC1=NC(Cl)=NC(NC2=CC3=C(C(C(C=C(N)C=C4)=C4C3=O)=O)C=C2)=N1,386.2,4,5,6,570,1.5,1,0,,,2.9,,,,,,,
"cyanuric chloride, 4,4’-bipyridine",ClC1=NC([N+](C=C2)=CC=C2C3=CC=NC=C3)=NC(Cl)=N1,305.1,3,5,6,,1.2,1,0,900,5.4,2.4,684,0.52,0.3,,,,196
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,500,34.2,1,460,0.28,,,,,79
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,600,25.8,1,443,0.41,,,,,187
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,700,20.9,1,1293,0.71,,,,,404
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,800,16.5,1,1234,0.72,,,,,143
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,900,14,1,1268,0.71,,,,,220
