zwiazek,smiles_old,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD,,smiles
2CNPP,CC(C)C(C=C1)=CC=C1N2C(C=C(C3=CC=C(C#N)C=C3)N4C5=CC=C(C(C)C)C=C5)=C4C=C2C6=CC=C(C#N)C=C6,544.7,6,4,6,,1.9,0,1,500,1.6,3.6,1371,1.12,0.508,116,187,,,,CC(C)c%19ccc(n2c(c1ccc(C#N)cc1)cc%17c2cc(c%16ccc(c%15nc(c8ccc(c6cc4c(cc(c3ccc(C#N)cc3)n4c5ccc(C(C)C)cc5)n6c7ccc(C(C)C)cc7)cc8)nc(c%14ccc(c%12cc%10c(cc(c9ccc(C#N)cc9)n%10c%11ccc(C(C)C)cc%11)n%12c%13ccc(C(C)C)cc%13)cc%14)n%15)cc%16)n%17c%18ccc(C(C)C)cc%18)cc%19
2CNPP,CC(C)C(C=C1)=CC=C1N2C(C=C(C3=CC=C(C#N)C=C3)N4C5=CC=C(C(C)C)C=C5)=C4C=C2C6=CC=C(C#N)C=C6,544.7,6,4,6,,1.9,0,1,600,4.3,3.6,1527,0.89,0.612,151,197,,,,CC(C)c%19ccc(n2c(c1ccc(C#N)cc1)cc%17c2cc(c%16ccc(c%15nc(c8ccc(c6cc4c(cc(c3ccc(C#N)cc3)n4c5ccc(C(C)C)cc5)n6c7ccc(C(C)C)cc7)cc8)nc(c%14ccc(c%12cc%10c(cc(c9ccc(C#N)cc9)n%10c%11ccc(C(C)C)cc%11)n%12c%13ccc(C(C)C)cc%13)cc%14)n%15)cc%16)n%17c%18ccc(C(C)C)cc%18)cc%19
2CNPP,CC(C)C(C=C1)=CC=C1N2C(C=C(C3=CC=C(C#N)C=C3)N4C5=CC=C(C(C)C)C=C5)=C4C=C2C6=CC=C(C#N)C=C6,544.7,6,4,6,,1.9,0,1,700,6.4,3.6,1052,1.32,0.318,184,255,,,,CC(C)c%19ccc(n2c(c1ccc(C#N)cc1)cc%17c2cc(c%16ccc(c%15nc(c8ccc(c6cc4c(cc(c3ccc(C#N)cc3)n4c5ccc(C(C)C)cc5)n6c7ccc(C(C)C)cc7)cc8)nc(c%14ccc(c%12cc%10c(cc(c9ccc(C#N)cc9)n%10c%11ccc(C(C)C)cc%11)n%12c%13ccc(C(C)C)cc%13)cc%14)n%15)cc%16)n%17c%18ccc(C(C)C)cc%18)cc%19
2CN-1 (terephtalonitrile),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,700,6.6,1.3,1612,1.1,0.551,204,200,,,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
4CN-1,N#C/C(C#N)=C(C=C/1)/C=CC1=C(C#N)/C#N,204.2,1,4,3,745,0.9,0,1,700,7.5,0.9,2260,1.71,0.621,294,303,,,,N#CC(C#N)=c4ccc(=C(C#N)c3nc(C(C#N)=c1ccc(=C(C#N)C#N)cc1)nc(C(C#N)=c2ccc(=C(C#N)C#N)cc2)n3)cc4
2CN-2,CC1=CC2=C(C=C1)N=C(N3C(C4=CC=C(C#N)C=C4)=CC5=C3C=C(C6=CC=C(C#N)C=C6)N5C7=NC(C=CC(C)=C8)=C8S7)S2,602.7,8,6,6,,1.9,0,1,700,5.4,3.6,1835,0.82,0.819,250,269,,,,Cc%25ccc%24nc(n2c(c1ccc(C#N)cc1)cc%21c2cc(c%20ccc(c%19nc(c%10ccc(c7cc4c(cc(c3ccc(C#N)cc3)n4c6nc5ccc(C)cc5s6)n7c9nc8ccc(C)cc8s9)cc%10)nc(c%18ccc(c%15cc%12c(cc(c%11ccc(C#N)cc%11)n%12c%14nc%13ccc(C)cc%13s%14)n%15c%17nc%16ccc(C)cc%16s%17)cc%18)n%19)cc%20)n%21c%23nc%22ccc(C)cc%22s%23)sc%24c%25
4CN-2,N#CC(C=C1)=CC=C1C2=CC3=C(C=C(C4=CC=C(C#N)C=C4)N3C5=CC=C(C#N)C=C5)N2C6=CC=C(C#N)C=C6,510.6,6,6,6,,1.9,0,1,700,6.5,3.6,1962,1.36,0.632,255,291,,,,N#Cc%19ccc(c%17cc%15c(cc(c%14ccc(c%13nc(c6ccc(c4cc2c(cc(c1ccc(C#N)cc1)n2c3ccc(C#N)cc3)n4c5ccc(C#N)cc5)cc6)nc(c%12ccc(c%10cc8c(cc(c7ccc(C#N)cc7)n8c9ccc(C#N)cc9)n%10c%11ccc(C#N)cc%11)cc%12)n%13)cc%14)n%15c%16ccc(C#N)cc%16)n%17c%18ccc(C#N)cc%18)cc%19
"1,3,5-triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,800,,3.2,711,0.23,0.231,,,,112,,ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1
"1,4-dicyanobenzene",N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,700,8.2,1.3,2581,,,171,,,,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,400,12.44,1.3,1175,0.66,,,248,,,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
