smiles,capacity_max
ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1,112
C1([N+]2=CC=C(C3=CC=NC=C3)C=C2)=NC([N+]4=CC=C(C5=CC=NC=C5)C=C4)=NC([N+]6=CC=C(C7=CC=NC=C7)C=C6)=N1,196
OC(C=C(C(O)=C1)/N=C/C2=CC=C(C3=NC(C4=CC=C(C=C4)C=O)=NC(C5=CC=C(C=C5)C=O)=N3)C=C2)=C1/N=C/C6=CC=C(C7=NC(C8=CC=C(C=C8)C=O)=NC(C9=CC=C(C=C9)C=O)=N7)C=C6,256
ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1,228
NC1=NC(/N=C/N2CCN(/C=N/C3=NC(N)=NC(N)=N3)CC2)=NC(N)=N1,335
O=C1N(C(C2=C1C=C(C3=C2)C(OC3=O)=O)=O)C(C=C4)=CC=C4C5=NC(C6=CC=C(N(C(C7=C8C=C(C9=C7)C(OC9=O)=O)=O)C8=O)C=C6)=NC(C%10=CC=C(N(C(C%11=C%12C=C(C%13=C%11)C(OC%13=O)=O)=O)C%12=O)C=C%10)=N5,423
O=C1N(C(C2=CC=C3C4=C2C1=CC=C4C(OC3=O)=O)=O)C(C=C5)=CC=C5C6=NC(C7=CC=C(N(C(C8=CC=C9C%10=C8C%11=CC=C%10C(OC9=O)=O)=O)C%11=O)C=C7)=NC(C%12=CC=C(N(C(C%13=CC=C%14C%15=C%13C%16=CC=C%15C(OC%14=O)=O)=O)C%16=O)C=C%12)=N6,388
NC1=CC(C(C(C=C2)=C3C=C2NC4=NC(NC5=CC6=C(C=C5)C(C7=C(C6=O)C=CC(N)=C7)=O)=NC(NC8=CC9=C(C=C8)C(C%10=C(C9=O)C=CC(N)=C%10)=O)=N4)=O)=C(C3=O)C=C1,468
OC(C(C=O)=CC(C=O)=C1)=C1/C=N/C(N=C2)=CC=C2C3=NC(C4=CN=C(C=C4)/N=C\C5=C(C(C=O)=CC(C=O)=C5)O)=NC(C6=CC=C(N=C6)/N=C\C7=C(C(C=O)=CC(C=O)=C7)O)=N3,546
OC1=C(/C=N/C2=CC=C(C3=NC(C4=CN=C(/N=C/C5=C(O)C(C=O)=C(O)C(C=O)=C5)C=C4)=NC(C6=CC=C(/N=C/C7=C(O)C(C=O)=C(O)C(C=O)=C7)N=C6)=N3)C=N2)C=C(C=O)C(O)=C1C=O,310
OC1=C(/C=N/C2=CC=C(C3=NC(C4=CN=C(/N=C/C5=C(O)C(C=O)=C(O)C(C=O)=C5O)C=C4)=NC(C6=CC=C(/N=C/C7=C(O)C(C=O)=C(O)C(C=O)=C7O)N=C6)=N3)C=N2)C(O)=C(C=O)C(O)=C1C=O,400
Nc7cc6sc(c5c(O)c(c2nc1cc(S)c(N)cc1s2)c(O)c(c4nc3cc(S)c(N)cc3s4)c5O)nc6cc7S,724
Nc7cc6sc(c5cc(c2nc1cc(S)c(N)cc1s2)cc(c4nc3cc(S)c(N)cc3s4)c5)nc6cc7S,166
Nc1c(N)cc(c(cc2)cc3c2nc(c4cc(N5C(c6c(C5=O)cc7c(C(N(C7=O)c8cc(C(O)=O)cc(C(O)=O)c8)=O)c6)=O)cc(C(O)=O)c4)[nH]3)cc1,88.4
Nc1c(N)cc(c(cc2)cc3c2[nH]c(c4cc(N5C(c(ccc6C(N(C7=O)c8cc(c(n9)[nH]c%10c9cc(c%11cc(N)c(N)cc%11)cc%10)cc(c(n%12)[nH]c%13c%12ccc(c%14cc(N)c(N)cc%14)c%13)c8)=O)c%15c6c7ccc%15C5=O)=O)cc(c(n%16)[nH]c%17c%16ccc(c%18cc(N)c(N)cc%18)c%17)c4)n3)cc1,66.56
Nc1c(N)cc(c(cc2)cc3c2[nH]c(c4cc(N5C(c(ccc6c(ccc7C(N(C8=O)c9cc(c(n%10)[nH]c%11c%10ccc(c%12cc(N)c(N)cc%12)c%11)cc(c(n%13)[nH]c%14c%13cc(c%15cc(N)c(N)cc%15)cc%14)c9)=O)c%16c7c8ccc%17%16)c%18c6c%17ccc%18C5=O)=O)cc(c(n%19)[nH]c%20c%19ccc(c%21cc(N)c(N)cc%21)c%20)c4)n3)cc1,5.65
Nc1ccc(NC=C2C(C(C(C(C2=O)=CNc3ccc(N)cc3)=O)=CNc4ccc(N)cc4)=O)cc1,95
Nc(ccc1)c2c1c(NC=C3C(C(C(C(C3=O)=CNc(ccc4)c5c4c(N)ccc5)=O)=CNc(ccc6)c7c6c(N)ccc7)=O)ccc2,379
Brc4ccc(Nc3nc(Nc1ccc(Br)s1)nc(Nc2ccc(Br)s2)n3)s4,407
Nc1cc2c(C(c3c(C2=O)ccc(NC=c(c(=O)c(=CNc4cc5c(C(c6c(C5=O)ccc(N)c6)=O)cc4)c(=O)c7=CNc8cc9c(C(c%10c(C9=O)ccc(N)c%10)=O)cc8)c7=O)c3)=O)cc1,49
O=C1C(C(c2c(C1=O)nc3c(C(c4c(C3=O)nc5c(C(C(C(C5=O)=O)=O)=O)n4)=O)n2)=O)=O,585
Nc%13cc%12nc%11cc%10nc9c4nc3cc2nc1cc(N)c(N)cc1nc2cc3nc4c8nc7cc6nc5cc(N)c(N)cc5nc6cc7nc8c9nc%10cc%11nc%12cc%13N,663
O=C1C(C(c(n2)c(C1=O)nc3c2cc(nc(C(C(C(C4=O)=O)=O)=O)c4n5)c5c3)=O)=O,224
