Ref.,SMILES,Limits of Potential Window (V),Lower Limit of Potential Window (V),Upper Limit of Potential Window (V),Potential Window (V),Current Density (A/g),Capacitance (F/g),Specific Surface Area (m^2/g),Charge Transfer Resistance (Rct) (ohm),Equivalent Series Resistance (Rs) (ohm),Electrode Configuration,Pore Size (nm),Pore Volume (cm^3/g),Ratio of ID/IG,N at%,C at%,O at%,Electrolyte Chemical Formula,Electrolyte Ionic Conductivity,Electrolyte Concentration (M),Cell Configuration (three/two electrode system)
DOI: 10.1021/acsami.5b10781,FC1=C(F)C(C(O[Co]([OH2])([OH2])[N]2(C3)C[N@@](C[N@@]3C4)C[N@@]4C2)=O)=C(F)C(F)=C1C([O])=O,0 to 0.5,0,0.5,0.5,1,2474,12.15,,2,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,FC1=C(F)C(C(O[Co]([OH2])([OH2])[N]2(C3)C[N@@](C[N@@]3C4)C[N@@]4C2)=O)=C(F)C(F)=C1C([O])=O,0 to 0.5,0,0.5,0.5,2,1978,12.15,,2,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,FC1=C(F)C(C(O[Co]([OH2])([OH2])[N]2(C3)C[N@@](C[N@@]3C4)C[N@@]4C2)=O)=C(F)C(F)=C1C([O])=O,0 to 0.5,0,0.5,0.5,4,1728,12.15,,2,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,FC1=C(F)C(C(O[Co]([OH2])([OH2])[N]2(C3)C[N@@](C[N@@]3C4)C[N@@]4C2)=O)=C(F)C(F)=C1C([O])=O,0 to 0.5,0,0.5,0.5,6,1607,12.15,,2,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,FC1=C(F)C(C(O[Co]([OH2])([OH2])[N]2(C3)C[N@@](C[N@@]3C4)C[N@@]4C2)=O)=C(F)C(F)=C1C([O])=O,0 to 0.5,0,0.5,0.5,8,1514,12.15,,2,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b10781,FC1=C(F)C(C(O[Co]([OH2])([OH2])[N]2(C3)C[N@@](C[N@@]3C4)C[N@@]4C2)=O)=C(F)C(F)=C1C([O])=O,0 to 0.5,0,0.5,0.5,20,1024,12.15,,2,(Co-LmOF),3.8,0.168,,,,,KOH,6,1,three-electrode system
DOI: 10.1007/s11664-019-07188-5,OC1=C(CC2=CC=CC=C2[OH][P](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C1,0 to 1.6,0,1.6,1.6,0.5,120,1010,0.12,,P0-CCG,2.45,0.53,0.834,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11664-019-07188-5,OC1=C(CC2=CC=CC=C2[OH][P](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C1,0 to 1.6,0,1.6,1.6,0.5,192,1007,0.1,,P0.1-CCG,2.39,0.6,0.84,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11664-019-07188-5,OC1=C(CC2=CC=CC=C2[OH][P](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C1,0 to 1.6,0,1.6,1.6,0.5,277,1010,0.08,,P0.4-CCG,3.06,0.57,0.841,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11664-019-07188-5,OC1=C(CC2=CC=CC=C2[OH][P](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C1,0 to 1.6,0,1.6,1.6,0.5,252,1010,0.14,,P0.8-CCG,2.38,0.56,0.838,,,,KOH,6,6,two-electrode system
DOI: 10.1021/acsami.5b08474,S=S=[Mo][NH2]C1=CC=CC=C1,0 to 0.7,0,0.7,0.7,1,124,,,,moS2/PANI-60,,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1021/acsami.5b08474,S=S=[Mo][NH2]C1=CC=CC=C1,-0.1 to 0.6,-0.1,0.6,0.7,0.5,552,,,,moS2/PANI-60,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.5b08474,S=S=[Mo][NH2]C1=CC=CC=C1,-0.1 to 0.6,-0.1,0.6,0.7,30,455,,,,moS2/PANI-60,,,,,,,H2SO4,7,1,three-electrode system
