DOI,SMILES,Materials-2,Materials-note,Electrolyte,Voltage window (V),Specific surface area (m2/g),Capacitance (F/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig ,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %)
10.1021/ja7106146,O=C([O-])C1=CC=C(C2=O[Zn]3OC(C4=CC=C(C([O-])=O)C=C4)=O[Zn+](O=C(O[Zn]5)C6=CC=C(C([O-])=O)C=C6)[O+4]35[Zn]O2)C=C1,filled with furfuryl alcohol,,h2so4,1,2872,312,2.06,,,,,,,,,,
10.1002/anie.200702721,OC1=C(CC2=CC=CC=C2O)C=CC=C1,Ni(OH)2 as template,fenol-formaldehyde resin,koh,1,970,68.4,0.69,2.85,0.3,,,,,,,,
10.1039/b819202b,CCCCCCCCCC1=C(C2=CC=C(CCCCCCCCCC)C=C2)C(C3=CC=C(C#CCCCCCCCCC)C=C3)=C(C4=CC=C(C#CCCCCCCCCC)C=C4)C(C5=CC=C(CCCCCCCCCCC)C=C5)=C1C6=CC=CC=C6,,polymer,h2so4,0.9,1140,304,,,,,,,,,,,
10.1021/jp2047618,OC1=C(CC2=CC=CC=C2O)C=CC=C1,Pluronic 123 or 127,fenol-formaldehyde resin,nacl,1.4,846.5,18.31,0.76,7.57,,,,,,,,,
10.1021/jp2047618,OC1=C(CC2=CC=CC=C2O)C=CC=C1,Pluronic 123 or 127,fenol-formaldehyde resin,nacl,1.4,602.6,5.31,0.35,3.42,,,,,,,,,
10.1021/jp2047618,OC1=C(CC2=CC=CC=C2O)C=CC=C1,Pluronic 123 or 127,fenol-formaldehyde resin,nacl,1.4,492.9,8.51,0.092,3.25,,,,,,,,,
10.1039/c3cc44175j,N#CCC[N+]1=CN(CC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,,like CTF,koh,0.8,854,131,1,1.2,0.12,269,1,6.7,4.1,0,0.7,5.6,
10.1039/c3cc44175j,N#CCC[N+]1=CN(CC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(C(F)(F)F)F)=O)(C(F)(C(F)(F)F)F)=O.O=S([N-]S(=O)(C(F)(C(F)(F)F)F)=O)(C(F)(C(F)(F)F)F)=O,,like CTF,koh,0.8,1277,154,1.28,1.2,0.34,757,,7.3,7.2,0,0.7,,
10.1039/c3cc44175j,N#CCC[N+]1=CN(CCCC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,,like CTF,koh,0.8,870,,0.52,1.2,0.33,716,,6.8,4.3,0,1,1.4,
10.1039/c3cc44175j,N#CCC[N+]1=CN(CCCCCC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,,like CTF,koh,0.8,643,104,0.33,1.1,0.28,601,,6.6,3.8,0,0.8,2,
