dataset,capacity_max,smiles,canon_smiles,selfies,molecule
expert1,628.0,N#Cc%10ccc(/C=C/C(/C=C/c1ccc(C#N)cc1)/C=C/c9ccc(c8nc(c4ccc(/C=C/C(/C=C/c2ccc(C#N)cc2)\C=C\c3ccc(C#N)cc3)cc4)nc(c7ccc(/C=C/C(/C=C/c5ccc(C#N)cc5)\C=C\c6ccc(C#N)cc6)cc7)n8)cc9)cc%10,N#Cc1ccc(/C=C/C(/C=C/c2ccc(C#N)cc2)/C=C/c2ccc(-c3nc(-c4ccc(/C=C/C(/C=C/c5ccc(C#N)cc5)/C=C/c5ccc(C#N)cc5)cc4)nc(-c4ccc(/C=C/C(/C=C/c5ccc(C#N)cc5)/C=C/c5ccc(C#N)cc5)cc4)n3)cc2)cc1,[N][#C][C][=C][C][=C][Branch2][#Branch2][O][/C][=C][/C][Branch1][#C][/C][=C][/C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][/C][=C][/C][=C][C][=C][Branch2][Branch2][#Branch2][C][=N][C][Branch2][Ring2][=C][C][=C][C][=C][Branch2][Ring2][C][/C][=C][/C][Branch1][#C][/C][=C][/C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][/C][=C][/C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring2][Ring1][=N][=N][C][Branch2][Ring2][=C][C][=C][C][=C][Branch2][Ring2][C][/C][=C][/C][Branch1][#C][/C][=C][/C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][/C][=C][/C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring2][Ring1][=N][=N][Ring2][Branch1][S][C][=C][Ring2][=Branch1][=Branch1][C][=C][Ring2][#Branch1][O],<rdkit.Chem.rdchem.Mol object at 0x7f9a5feacdd0>
expert1,255.0,CC(C)c%19ccc(n2c(c1ccc(C#N)cc1)cc%17c2cc(c%16ccc(c%15nc(c8ccc(c6cc4c(cc(c3ccc(C#N)cc3)n4c5ccc(C(C)C)cc5)n6c7ccc(C(C)C)cc7)cc8)nc(c%14ccc(c%12cc%10c(cc(c9ccc(C#N)cc9)n%10c%11ccc(C(C)C)cc%11)n%12c%13ccc(C(C)C)cc%13)cc%14)n%15)cc%16)n%17c%18ccc(C(C)C)cc%18)cc%19,CC(C)c1ccc(-n2c(-c3ccc(C#N)cc3)cc3c2cc(-c2ccc(-c4nc(-c5ccc(-c6cc7c(cc(-c8ccc(C#N)cc8)n7-c7ccc(C(C)C)cc7)n6-c6ccc(C(C)C)cc6)cc5)nc(-c5ccc(-c6cc7c(cc(-c8ccc(C#N)cc8)n7-c7ccc(C(C)C)cc7)n6-c6ccc(C(C)C)cc6)cc5)n4)cc2)n3-c2ccc(C(C)C)cc2)cc1,[C][C][Branch1][C][C][C][=C][C][=C][Branch2][#C][=Branch2][N][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][=C][C][=C][Ring1][=N][C][=C][Branch2][N][N][C][=C][C][=C][Branch2][O][S][C][=N][C][Branch2][=Branch1][=Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Ring2][Ring1][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring1][=N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][N][Ring2][Ring1][=Branch2][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring2][Branch2][=N][C][Branch2][=Branch1][=Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Ring2][Ring1][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring1][=N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][N][Ring2][Ring1][=Branch2][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring2][Branch2][=N][Ring2][#Branch1][=Branch1][C][=C][Ring2][#Branch1][N][N][Ring2][#Branch1][P][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][=C][Ring2][=Branch2][O],<rdkit.Chem.rdchem.Mol object at 0x7f9a6003f1b0>
expert1,269.0,Cc%25ccc%24nc(n2c(c1ccc(C#N)cc1)cc%21c2cc(c%20ccc(c%19nc(c%10ccc(c7cc4c(cc(c3ccc(C#N)cc3)n4c6nc5ccc(C)cc5s6)n7c9nc8ccc(C)cc8s9)cc%10)nc(c%18ccc(c%15cc%12c(cc(c%11ccc(C#N)cc%11)n%12c%14nc%13ccc(C)cc%13s%14)n%15c%17nc%16ccc(C)cc%16s%17)cc%18)n%19)cc%20)n%21c%23nc%22ccc(C)cc%22s%23)sc%24c%25,Cc1ccc2nc(-n3c(-c4ccc(C#N)cc4)cc4c3cc(-c3ccc(-c5nc(-c6ccc(-c7cc8c(cc(-c9ccc(C#N)cc9)n8-c8nc9ccc(C)cc9s8)n7-c7nc8ccc(C)cc8s7)cc6)nc(-c6ccc(-c7cc8c(cc(-c9ccc(C#N)cc9)n8-c8nc9ccc(C)cc9s8)n7-c7nc8ccc(C)cc8s7)cc6)n5)cc3)n4-c3nc4ccc(C)cc4s3)sc2c1,[C][C][=C][C][=C][N][=C][Branch2][#C][=C][N][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][=C][C][=C][Ring1][=N][C][=C][Branch2][N][S][C][=C][C][=C][Branch2][N][Ring2][C][=N][C][Branch2][=Branch1][O][C][=C][C][=C][Branch2][Branch1][#C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring1][=N][C][=N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][Ring1][#Branch2][N][Ring2][Ring1][#Branch2][C][=N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][Ring1][#Branch2][C][=C][Ring2][Ring2][#Branch2][=N][C][Branch2][=Branch1][O][C][=C][C][=C][Branch2][Branch1][#C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring1][=N][C][=N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][Ring1][#Branch2][N][Ring2][Ring1][#Branch2][C][=N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][Ring1][#Branch2][C][=C][Ring2][Ring2][#Branch2][=N][Ring2][#Branch1][#Branch2][C][=C][Ring2][#Branch1][S][N][Ring2][Branch2][Branch1][C][=N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][Ring1][#Branch2][S][C][Ring2][=Branch2][#C][=C][Ring2][#Branch2][Ring1],<rdkit.Chem.rdchem.Mol object at 0x7f9a5ff890e0>
expert1,468.0,NC1=CC(C(C(C=C2)=C3C=C2NC4=NC(NC5=CC6=C(C=C5)C(C7=C(C6=O)C=CC(N)=C7)=O)=NC(NC8=CC9=C(C=C8)C(C%10=C(C9=O)C=CC(N)=C%10)=O)=N4)=O)=C(C3=O)C=C1,Nc1ccc2c(c1)C(=O)c1ccc(Nc3nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc1C2=O,[N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch2][=Branch1][=N][N][C][=N][C][Branch2][Ring1][#C][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][Ring1][=N][=O][=N][C][Branch2][Ring1][#C][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][Ring1][=N][=O][=N][Ring2][Ring2][#Branch2][C][=C][Ring2][Ring2][P][C][Ring2][Branch1][#Branch1][=O],<rdkit.Chem.rdchem.Mol object at 0x7f9a5ff89000>
expert1,228.0,ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1,Clc1nc(Cl)nc(-c2ccc(-c3cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)c3)cc2)n1,[Cl][C][=N][C][Branch1][C][Cl][=N][C][Branch2][=Branch1][N][C][=C][C][=C][Branch2][Branch1][S][C][=C][C][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][#C][C][=N][C][Branch1][C][Cl][=N][C][Branch1][C][Cl][=N][Ring1][Branch2][C][=C][Ring1][=C][=C][C][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][#C][C][=N][C][Branch1][C][Cl][=N][C][Branch1][C][Cl][=N][Ring1][Branch2][C][=C][Ring1][=C][=C][Ring2][Ring2][C][C][=C][Ring2][Ring2][Branch2][=N][Ring2][Ring2][#C],<rdkit.Chem.rdchem.Mol object at 0x7f9a5ff88f20>
expert1,196.0,C1([N+]2=CC=C(C3=CC=NC=C3)C=C2)=NC([N+]4=CC=C(C5=CC=NC=C5)C=C4)=NC([N+]6=CC=C(C7=CC=NC=C7)C=C6)=N1,c1cc(-c2cc[n+](-c3nc(-[n+]4ccc(-c5ccncc5)cc4)nc(-[n+]4ccc(-c5ccncc5)cc4)n3)cc2)ccn1,[C][=C][C][Branch2][Branch1][S][C][=C][C][=N+1][Branch2][Branch1][Ring2][C][=N][C][Branch2][Ring1][Ring1][N+1][=C][C][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][Ring1][N][=N][C][Branch2][Ring1][Ring1][N+1][=C][C][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][Ring1][N][=N][Ring2][Ring1][=C][C][=C][Ring2][Ring2][Ring2][=C][C][=N][Ring2][Ring2][#Branch2],<rdkit.Chem.rdchem.Mol object at 0x7f9a5ff89070>
expert1,379.0,N#Cc4c(F)c(F)c(c3nc(c1c(F)c(F)c(C#N)c(F)c1F)nc(c2c(F)c(F)c(C#N)c(F)c2F)n3)c(F)c4F,N#Cc1c(F)c(F)c(-c2nc(-c3c(F)c(F)c(C#N)c(F)c3F)nc(-c3c(F)c(F)c(C#N)c(F)c3F)n2)c(F)c1F,[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][N][C][=N][C][Branch2][Ring1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Ring1][O][F][=N][C][Branch2][Ring1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Ring1][O][F][=N][Ring2][Ring1][=C][C][Branch1][C][F][=C][Ring2][Ring2][#Branch1][F],<rdkit.Chem.rdchem.Mol object at 0x7f9a5ff880b0>
expert1,383.0,N#CC(C#N)=c4ccc(=C(C#N)c3nc(C(C#N)=c1ccc(=C(C#N)C#N)cc1)nc(C(C#N)=c2ccc(=C(C#N)C#N)cc2)n3)cc4,N#CC(C#N)=c1ccc(=C(C#N)c2nc(C(C#N)=c3ccc(=C(C#N)C#N)cc3)nc(C(C#N)=c3ccc(=C(C#N)C#N)cc3)n2)cc1,[N][#C][C][Branch1][Ring1][C][#N][=C][C][=C][C][=Branch2][Branch1][P][=C][Branch1][Ring1][C][#N][C][=N][C][Branch2][Ring1][#Branch1][C][Branch1][Ring1][C][#N][=C][C][=C][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][C][=C][Ring1][O][=N][C][Branch2][Ring1][#Branch1][C][Branch1][Ring1][C][#N][=C][C][=C][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][C][=C][Ring1][O][=N][Ring2][Ring2][C][C][=C][Ring2][Ring2][O],<rdkit.Chem.rdchem.Mol object at 0x7f9a5ff8a180>
expert1,404.0,N#C/C=C/c1nc(/C=C/C#N)nc(/C=C/C#N)n1,N#C/C=C/c1nc(/C=C/C#N)nc(/C=C/C#N)n1,[N][#C][/C][=C][/C][=N][C][Branch1][Branch1][/C][=C][/C][#N][=N][C][Branch1][Branch1][/C][=C][/C][#N][=N][Ring1][=C],<rdkit.Chem.rdchem.Mol object at 0x7f9a6008a570>
expert1,291.0,N#Cc%19ccc(c%17cc%15c(cc(c%14ccc(c%13nc(c6ccc(c4cc2c(cc(c1ccc(C#N)cc1)n2c3ccc(C#N)cc3)n4c5ccc(C#N)cc5)cc6)nc(c%12ccc(c%10cc8c(cc(c7ccc(C#N)cc7)n8c9ccc(C#N)cc9)n%10c%11ccc(C#N)cc%11)cc%12)n%13)cc%14)n%15c%16ccc(C#N)cc%16)n%17c%18ccc(C#N)cc%18)cc%19,N#Cc1ccc(-c2cc3c(cc(-c4ccc(-c5nc(-c6ccc(-c7cc8c(cc(-c9ccc(C#N)cc9)n8-c8ccc(C#N)cc8)n7-c7ccc(C#N)cc7)cc6)nc(-c6ccc(-c7cc8c(cc(-c9ccc(C#N)cc9)n8-c8ccc(C#N)cc8)n7-c7ccc(C#N)cc7)cc6)n5)cc4)n3-c3ccc(C#N)cc3)n2-c2ccc(C#N)cc2)cc1,[N][#C][C][=C][C][=C][Branch2][=C][N][C][=C][C][=C][Branch2][=N][Branch1][C][=C][Branch2][O][S][C][=C][C][=C][Branch2][O][Ring2][C][=N][C][Branch2][=Branch1][Ring1][C][=C][C][=C][Branch2][Branch1][#Branch1][C][=C][C][=C][Branch2][Ring1][S][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring2][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][=Branch1][=N][C][Branch2][=Branch1][Ring1][C][=C][C][=C][Branch2][Branch1][#Branch1][C][=C][C][=C][Branch2][Ring1][S][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring2][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][=Branch1][=N][Ring2][#Branch1][C][C][=C][Ring2][#Branch1][Branch2][N][Ring2][#Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Ring2][Branch2][Branch2][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring2][=Branch2][=Branch1],<rdkit.Chem.rdchem.Mol object at 0x7f9a6008aab0>
