filenames,num_total_molecules,num_filtered_molecules,smiles_after_filtering
bionemo_molmim_data_experts_1__num_samples_100_sampling_method_greedy-perturbate_scaled_radius_0.5.csv,976,3,"['N#Cc1c2ccccc2c(C#N)c2ccccc12', 'N#Cc1c(F)c(F)c(C#N)c(I)c1F', 'N#Cc1c([O])c(F)c(C#N)c(F)c1F']"
bionemo_molmim_data_experts_1__num_samples_100_sampling_method_topkp-perturbate_scaled_radius_1_top_k_5_top_p_0.8_temperature_0.7.csv,2000,4,"['N#Cc1cccc(C#N)c1F', 'N#Cc1ccc(C#N)nc1', 'N#Cc1ccc(-c2ccc(C#N)nn2)cc1', 'N#Cc1cccc(C#N)c1C=O']"
bionemo_megamolbart_data_experts_1__num_samples_100_scaled_radius_1.0.csv,558,25,"['N#Cc1cccc(C#N)c1', 'N#Cc1c(F)c(Cl)c(F)c(C#N)c1F', 'N#Cc1c(F)c(F)c(F)c(C#N)c1F', 'N#Cc1cccc(C#N)n1', 'N#Cc1c(F)c(F)c(C#N)c(F)c1F', 'N#Cc1ccnc(C#N)n1', 'N#Cc1c(F)c(C#N)c(F)c(C#N)c1F', 'N#Cc1ccc(-c2ccnc(C#N)c2)nc1', 'N#Cc1cc(C#N)nc(C#N)n1', 'N#C/C=C\\C=C\\C#N', 'N#Cc1cc(C#N)nc(C#N)c1', 'N#Cc1ccc(C#N)cc1', 'N#Cc1ccc(-c2cncc(C#N)c2)nc1', 'N#Cc1ccc(-c2ccc(C#N)cn2)cc1', 'N#CC=C/C=C/C=C/C#N', 'N#Cc1ccc(-c2cc(C#N)ccn2)nc1', 'N#CC1=CC=C(c2ccc(C#N)cc2)NN1', 'N#CC#C/C=C/C#N', 'N#Cc1ccc(-c2cccc(C#N)c2)nc1', 'N#C/C=C/C#N', 'N#Cc1ccc(-c2ccc(C#N)cn2)nc1', 'N#Cc1c(F)c(N)c(F)c(C#N)c1F', 'N#Cc1c2ccccccc2c(C#N)c2ccccccc12', 'N#Cc1ccc(-c2ccc(-c3ccc(C#N)cc3)cc2)cc1', 'N#Cc1ccc(-c2ccc(C#N)cc2)cc1']"
bionemo_molmim_data_experts_1__num_samples_100_sampling_method_beam-search-perturbate_scaled_radius_1_beam_size_3_beam_alpha_0.csv,1936,2,"['N#Cc1cccc(C#N)c1', 'N#Cc1ccnc(C#N)n1']"
bionemo_molmim_data_experts_1_2x12_chunks_num_samples_100_sampling_method_beam-search-perturbate_scaled_radius_2_beam_size_5_beam_alpha_0.5.csv,1970,0,[]
bionemo_molmim_data_experts_1__num_samples_100_sampling_method_greedy-perturbate_scaled_radius_2.csv,2001,0,[]
bionemo_megamolbart_data_experts_1_iterative_by_one_num_samples_100_scaled_radius_1.0.csv,545,27,"['N#Cc1cccc(C#N)c1', 'N#Cc1c(F)c(F)c(F)c(C#N)c1F', 'N#Cc1cccc(C#N)n1', 'N#Cc1c(F)c(F)c(C#N)c(F)c1F', 'N#Cc1ccnc(C#N)n1', 'N#Cc1c(F)c(C#N)c(F)c(C#N)c1F', 'N#Cc1ccc(-c2cccc(C#N)n2)nc1', 'N#C/C=C\\C=C\\C#N', 'N#Cc1cc(C#N)cc(C#N)c1', 'N#Cc1ccc(C#N)cc1', 'N#Cc1ccc(-c2cccc(C#N)n2)cc1', 'N#Cc1ccc(-c2ccc(C#N)cn2)cc1', 'N#Cc1ccc(C#N)nc1', 'N#Cc1ccc(-c2ccc(C#N)nn2)nc1', 'N#Cc1ccc(-c2cc(C#N)ccn2)nc1', 'N#CC#C/C=C/C#N', 'N#Cc1ccc(-c2cccc(C#N)c2)nc1', 'N#C/C=C/C#N', 'N#Cc1ccc(-c2cc(C#N)ccn2)cc1', 'N#Cc1ccc(-c2ccc(C#N)cn2)nc1', 'N#CC#CC#CC#C/C=C\\C#N', 'N#Cc1c(F)c(N)c(F)c(C#N)c1F', 'N#CC1=CC=C(c2cccc(C#N)c2)NC1', 'Cc1c(F)c(C#N)c(F)c(C#N)c1F', 'N#CC1=CC=C(c2cccc(C#N)c2)CC1', 'N#Cc1ccc(-c2ccc(-c3ccc(C#N)cc3)cc2)cc1', 'N#Cc1ccc(-c2ccc(C#N)cc2)cc1']"
bionemo_molmim_data_experts_1_2x12_chunks_num_samples_100_sampling_method_beam-search-perturbate_scaled_radius_1_beam_size_3_beam_alpha_0.csv,1936,2,"['N#Cc1cccc(C#N)c1', 'N#Cc1ccnc(C#N)n1']"
bionemo_molmim_data_experts_1_24x1_chunks_num_samples_100_sampling_method_beam-search-perturbate_scaled_radius_2_beam_size_5_beam_alpha_0.5.csv,1985,0,[]
bionemo_molmim_data_experts_1__num_samples_100_sampling_method_beam-search-perturbate-sample_scaled_radius_1_beam_size_5_beam_alpha_0.csv,1973,5,"['N#Cc1ccc(C#N)c(Br)c1', 'N#Cc1ccc(C#N)c(Cl)c1', 'N#Cc1ccc(-c2ccc(C#N)cn2)cc1', 'N#Cc1cccc(C#N)c1N', 'N#CC1=CC=C(c2ccc(C#N)cn2)CC1']"
