SMILES,NLL
COc1ccc(-n2c(SCC(=O)N=c3[nH]c(-c4ccccc4)cs3)nc3ccccc3c2=O)cc1,23.33
COc1cc2c(-c3cc(OC)c(OC)c(OC)c3)cc(COC(=O)C3CCCO3)cc2cc1F,42.56
Cc1ccc2nc(-n3c(-c4ccc(C#N)cc4)cc4c3cc(-c3ccc(C#N)cc3)n4-c3nc4ccc(C)cc4s3)sc2c1,3.63
Nc1nc(N)nc(N=CN2CCN(C=O)CC2)n1,4.53
CN(C)Cc1ccc(-c2ccnc(-c3ccc(C=O)cc3)n2)cc1,15.12
N#Cc1c2ccccc2c(C#N)c2ccccc12,8.24
O=Cc1ccc2c(c1)OC(=Cc1ccccc1)C2=O,18.81
N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,3.52
N#Cc1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C#N)cc5)c(=O)c4cc3c2=O)cc1,4.09
N#Cc1c(F)c(F)c(C#N)c(F)c1F,3.41
Nc1ccc(-c2nc(-c3ccc(N)nc3)nc(-c3ccc(N=Cc4cc(C=O)cc(C=O)c4O)nc3)n2)cn1,4.67
C#Cc1ccc(C#N)cc1,3.76
N#Cc1ccc(-c2ccc(C#N)cc2)cc1,3.78
N#CC=CC#N,3.47
CCOCC=Cc1ccc(-c2nnc(-c3ccc(C=O)cc3)n2-c2ccc(C(=O)O)cc2)cc1,16.94
N#Cc1ccc(-c2ccc(C#N)cn2)nc1,3.27
CC(F)(F)c1cnc(-c2ccc(-c3ccc(C#N)cc3)cc2)n1-c1ccc(C#N)cc1,22.82
CC(C)c1ccc(-n2c(-c3ccc(C#N)cc3)cc3c2cc(-c2ccc(C#N)cc2)n3-c2ccc(C(C)C)cc2)cc1,3.79
N#Cc1ccc(C#N)cc1,5.51
N#Cc1ccc(-c2cc3c(cc(-c4ccc(C#N)cc4)n3-c3ccc(C#N)cc3)n2-c2ccc(C#N)cc2)cc1,4.34
Nc1ccc(-c2nc(-c3ccc(N)nc3)nc(-c3ccc(N=Cc4c(O)c(C=O)c(O)c(C=O)c4O)nc3)n2)cn1,3.63
Nc1ccc(-c2nc(-c3ccc(N)nc3)nc(-c3ccc(N=Cc4cc(C=O)c(O)c(C=O)c4O)nc3)n2)cn1,4.83
Clc1nc(Cl)nc(-c2ccc(-c3cc(-c4ccccc4)cc(-c4ccccc4)c3)cc2)n1,8.02
N#Cc1cccc(CNC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,22.99
Cn1cc(-c2ccc3c(c2)n(C2CCC(C#N)(c4nnc(-c5ccc(C#N)cc5)o4)CC2)c(=O)n3Cc2ccc(C#N)cc2)cn1,35.17
Nc1ccc(-c2nc(-c3ccc(N)cc3)nc(-c3ccc(-n4c(=O)c5cc6c(=O)oc(=O)c6cc5c4=O)cc3)n2)cc1,3.8
[N-]=[N+]=Nc1cccccc1=O,18.66
N#Cc1nc2ncnc(N3CCCCCC3)c2s1,22.95
Nc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=Nc4cc(O)c(N)cc4O)cc3)n2)cc1,12.91
Cc1cc(N=c2cnc(C#N)c[nH]2)cc(-c2ccc(C#N)cc2)c1,20.04
Nc1ccc2oc(-c3ccc(C=NN=c4ccc(Cl)c[nH]4)cc3)nc2c1,21.93
Nc1cc(O)c(N=Cc2ccc(-c3nc(-c4ccc(C=O)cc4)nc(-c4ccc(C=O)cc4)n3)cc2)cc1O,3.32
Nc1ccc(-c2noc(-c3ccc(C=O)cc3)n2)cn1,13.04
CCOC(=O)c1ccc(-[n+]2ccc(-c3ccccc3)cc2)nc1N,14.85
N#Cc1cc(C#N)c2ccc3c(C#N)cc(C#N)c4ccc1c2c43,4.49
N#CCc1cc(-c2ccc(C#N)cc2)ccc1-c1ccc(C#N)cc1,16.73
CC1CC2NC(=O)c3c(-c4ccc(C#N)cc4)cc2c2c3C(C)(O2)C1(F)F,35.2
c1ccc(-c2ccnc(-c3ccccc3)n2)cc1,14.7
CC(C)(C)NC(=O)CC[N+]1(C)CCN(Cc2c(F)ccc(Oc3ccc(Cl)cc3F)c2F)CC1,52.7
N#CC(=Cc1ccc(C#N)cc1)c1ccc(C#N)cc1,10.81
Cc1cccc(-c2cc3c(cc(-c4ccc(C#N)cc4)n3-c3ccc(C#N)cc3)n2-c2ccc(C#N)cc2)c1,12.34
N#Cc1ccc(-c2cc3c(cc(-c4ccccc4)n3-c3ccc(C#N)cc3)n2-c2ccc(C#N)cc2)cc1,6.39
C=c1c(C)c(O)n(C)c1=Cc1cc(C=CC(=O)c2ccccc2)c(=O)oc1-c1ccccc1,34.23
N#Cc1ccc(-n2ccc(C=O)c2)cc1,13.6
N#Cc1ccc(-c2ccc(C=Nc3ccc(-c4nc(-c5ccc(N)nc5)nc(-c5ccc(N)nc5)n4)cn3)cc2)cc1,10.21
N#Cc1ccc(-c2ccnc(C#N)c2)nc1,12.14
O=C(NN=Cc1ccccc1O)c1ccncc1,16.57
N#Cc1ccc(-n2[nH]c(=O)c3cc4c(=O)[nH]n(-c5ccc(C#N)cc5)c(=O)c4cc3c2=O)cc1,3.93
CN(C)C(=O)c1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=Nc4cc(O)c(N)cc4O)cc3)n2)cc1,14.59
NN=CCc1cccc(F)c1,20.5
COc1cccc(C=NN=c2cnc3ccccc3[nH]2)c1,16.59
N#Cc1cc(C#N)c2cccc3c2c1C(=O)c1ccccc1-3,8.89
Cc1ccc(=NC(=O)N(c2cccnc2)c2cnc(C(O)=NCc3ccc(F)cc3)cn2)[nH]c1,38.71
N#Cc1ccc(COCc2ccc(C#N)cc2-c2cccc(Cl)c2)cc1,20.14
N#Cc1ccc(-c2nc(-c3ccc(C#N)nc3)n3ccn(-c4ccc(C#N)cc4)c(=O)c23)cc1,17.45
N#Cc1ccc(-c2cc(Cc3ccccc3)cc(-c3ccc(C#N)cc3)c2)cc1,16.09
O=C1C(=NCc2ccc(F)cc2)C(c2ccccc2F)C(=O)c2ccccc21,26.13
O=Cc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,12.76
N#Cc1ccc(-c2ccccc2-c2ccc(C#N)cc2)cc1,9.75
Clc1nc(Cl)nc(-[n+]2ccc(-c3ccncc3)cc2)n1,3.87
Cc1noc(-c2ccc(N3CCc4c(C(N)=O)nn(-c5ccc(C#N)cc5)c4C3=O)cc2)n1,14.28
Nc1ccc(-c2nc(-c3ccc(N)nc3)nc(-c3ccc(N=Cc4cc(C=O)ccc4O)nc3)n2)cn1,6.8
N#Cc1ccc(-c2ccc(C#N)cn2)cc1,7.84
Cc1c(C(=O)Nc2ccc(-c3ccccc3)cc2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(C#N)cc1,20.39
Cc1ccc(C)n1-c1ccc(=O)n(CCO)n1,20.97
N#Cc1ccc(-c2nn(-c3ccc(C#N)cc3)c3c2C(=O)CC(c2ccc(C#N)cc2)C3)cc1,13.63
CNN=Nc1ccccc1F,28.6
CC(=O)Nc1ccc(CN(C)c2ncc3nc[nH]c(=Nc4cc(C(=O)Nc5cc(CN6CCCC6)cc(C(F)(F)F)c5)ccc4C)c3n2)cc1,34.82
