SMILES,NLL
N=c1ncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c[nH]1,13.26
N#Cc1c2ccccc2c(-c2nc(-c3c4ccccc4c(C#N)c4ccccc34)nc(-c3c4ccccc4c(C#N)c4ccccc34)n2)c2ccccc12,6.42
Clc1ccc(Cn2cc(C=Nn3cnnc3)c3ccccc32)cc1,19.55
N#Cc1cccc(-c2nc(-c3cccc(C#N)n3)nc(-c3cccc(C#N)n3)n2)n1,4.13
N#Cc1ccc(-c2nc(-c3ccc(-c4ccc(C#N)cn4)cc3)nc(-c3ccc(-n4cncn4)cc3)n2)cc1,12.68
CN1CCN(c2ccc(-c3ccc4c(c3)c(=O)n(-c3ccc(F)c(N)c3)c3cc(N)c(N)cc43)cn2)CC1,24.89
O=Cc1c(O)c(C=O)c(O)c(C=Nc2ccccn2)c1O,8.76
Nc1cccc2c(NC=C3C(=O)C(=CNc4cccc5c(N)cccc45)C(=O)C(=CN4CCNCC4)C3=O)cccc12,13.55
N#Cc1c2cc(N)c(N)cc2nc2sc(-c3ccc([N+](=O)[O-])cc3)nc12,22.16
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(Cl)cc5)cc4)nc(-c4ccc(-c5ccc(C#N)cc5)cc4)n3)cc2)cc1,10.2
Nc1ccc2c(c1)C(=O)c1ccc(Nc3nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc1C2=O,5.75
CN(C)C=Nc1nc(N=CN2CCN(C=O)CC2)nc(N=CN2CCN(C=O)CC2)n1,10.17
Clc1nc(Cl)nc(-c2ccc(-c3cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)c3)cc2)n1,3.92
Brc1ccc(Nc2nc(Nc3ccc(Br)s3)nc(Nc3ccc(Br)s3)n2)s1,4.27
COc1ccc(C(c2ccc(OC)cc2)=c2c3ccccc3c(=C(c3ccc(C)cc3)c3ccc(OC)c(O)c3)c3ccccc23)cc1,18.34
Nc1cccc2c(NC=C3C(=O)C(=CNc4cccc5c(N)cccc45)C(=O)C(=CNc4cccc5c(N)cccc45)C3=O)cccc12,4.09
COc1ccc(OCC(=O)N2CCN(c3c(C)nc(-c4cnccn4)nc3C)CC2C)cc1,30.64
N#Cc1ccc(-c2nc(-c3ccc(C#N)cc3)nc(-c3ccc(C#N)cn3)n2)cc1,11.63
O=Cc1cc(C=O)c(O)c(C=Nc2ccc(-c3nc(-c4ccc(N=Cc5cc(C=O)cc(C=O)c5O)nc4)nc(-c4ccc(N=Cc5cc(C=O)cc(C=O)c5O)nc4)n3)cn2)c1,4.18
