SMILES,NLL
CCc1nc(-c2ccc(C#N)cn2)c[nH]1,20.93
Cc1nc(-c2cccc(C#N)c2F)c(C#N)nc1-c1cc(C#N)cc2occc12,28.89
N#Cc1ccc(-c2ccc(OC(c3ccc(-c4ccc(C(N)=O)cc4)nc3)c3ccc(N)c(C#N)c3)cc2)cc1,37.77
N#Cc1ccc(-c2cc(C#N)nc(-c3cccc(-c4ccc(C#N)c(C#N)c4)n3)c2C#N)cc1,14.3
N#Cc1ccc(-c2cc(-c3ccc(C#N)nc3)nc(-c3cccc(C#N)n3)n2)cn1,9.64
N#Cc1ccc(-c2nc(C#N)c(-c3cncn3Cc3ccc(-c4ccccc4-c4nc(=O)o[nH]4)cc3)nc2-c2ccc(C#N)cc2)cc1,23.45
N#Cc1ccc(C#Cc2nc(-c3ccc(OC4CCC(C(=O)O)CC4)c(C#N)c3)nc(-c3ccc(C#N)nc3C#N)n2)nc1,15.51
N#Cc1ccc(C(c2ccc(C#N)cc2)c2cnccn2)cc1,13.31
COC(=O)c1nc(-c2ccc(-c3cccc(C#N)n3)c(C#N)n2)n(-c2ccc(C#N)cc2)n1,20.51
N#Cc1ccc(C#Cc2ccc(C#N)c(-c3cncc(C#N)n3)c2)cc1,11.26
Cn1nc(-c2nn(-c3ccc(Cl)cc3Cl)c(-c3ccccc3C(F)(F)F)c2C#N)nc1-c1ccc(-c2ccc(C#N)cc2)cc1,18.97
N#CC=Cc1cccc(-c2cc(-c3cccc(C#N)n3)nc(-c3ccc(C#N)nc3)n2)n1,14.82
N#Cc1cnc(N2CCC(n3c(-c4cc[nH]c(=N)n4)cc4c(C#N)nc(-c5ccc(-c6ccc(C#N)nc6)cc5)nc43)CC2)nc1,30.81
N#Cc1ccc(-c2cc(-c3nc(-c4ccc(C#N)nc4)nc(-c4ccc(C#N)cc4C#N)c3C#N)ccn2)nc1,14.14
N#CC=Cc1cc(-c2cccc(C#N)c2)cc(C=CC#N)n1,12.98
N#Cc1ccc(-c2onc(-c3cc(-c4ccc(C#N)nc4)nc(-c4ccc(O)cc4)n3)c2C#N)cc1,18.89
