SMILES,NLL
Nc1ccc2c(c1)C(=O)c1ccc(Nc3nc(Nc4ccc5c(c4)CCCCCC5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc1C2=O,10.14
CCCn1ccc2c(=NC(=O)c3cc(F)ccc3F)[nH]c(C#N)nc21,27.34
N#Cc1ccc(-c2cc(CO)nc(-c3ccc(C#N)cc3)n2)cc1,7.63
N#Cc1ccc(-c2ccc(-c3nc(COc4cc(C#N)cc(C#N)c4)cc(-c4ccc(-c5ncc(C#N)cn5)c(F)c4)n3)cc2)cc1,14.56
N#CC(C#N)=c1ccc(=C(C#N)c2nc(C(C#N)=c3ccc(=C(C#N)C#N)cc3)nc(C(C#N)=c3ccc(=C(C#N)C#N)cc3)n2)cc1,5.6
N#Cc1ccc(-c2ccc(-c3nc(C(N)=O)cc(-c4ccc(-c5ccc(C#N)cn5)cc4)n3)cc2)cc1,7.01
CC(=O)NC(C)c1ccc(C#Cc2nc(-c3cncc(C#N)c3)cnc2F)cc1,19.99
CN(CCCC(O)(Cn1cncn1)c1ccc(F)cc1)c1ccc(C#N)c(C#N)c1,33.39
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cn5)cc4)nc(-c4ccccn4)n3)cc2)cc1,12.26
N#Cc1ccc(-c2nc(Cl)nc(Cl)n2)cc1,7.66
O=C(c1ccc(Cl)cc1)c1ccc(-c2ccc(-c3cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)n3)cc2)nc1,8.12
N#CC=Cc1ccccn1,6.96
N#CC=Cc1cncc(-c2ccc(C#N)nc2)n1,14.35
N#Cc1ccc(-c2nc(-c3cccc(C#N)c3)nc(-c3cncc(C#N)c3)n2)cc1,10.45
N#Cc1c2ccccc2c(-c2nc(-c3c4ccccc4c(C#N)c4ccccc34)nc(-c3c4ccccc4c(C#N)c4ccccc34)n2)c2ccccc12,7.81
N#Cc1ccc(-c2nc(-c3ccc(-c4ccc(C#N)cn4)nc3)nc(-c3ccc(C(N)=O)c(F)c3)n2)cc1,17.29
N#CC=Cc1ccnc(C=CC#N)n1,6.4
Cc1cc(C)cc(C=Cc2cccc(C(N)=O)c2)c1,22.07
