SMILES,NLL
N#CCC(CO)n1nc(-c2ncc(C#N)c(-c3ccc(C#N)cc3)n2)c2cccc(C#N)c21,21.74
N#Cc1ccc(-c2ccc(C#N)c(-c3cc(-c4ccc(C#N)cc4)nc4[nH]c(-c5ccc(C#N)cc5)cc34)c2)cc1,18.28
N#Cc1ccc(-c2nc(-c3c(C#N)cnc4ccccc34)nn2Cc2cc(C#N)cc(-c3cccc(C#N)c3)c2)cc1,24.12
Cc1nc2c(-c3cc(C#N)c(-c4cccc(C#N)c4)nc3-c3ccc(C#N)cc3)cnnc2n1Cc1ccc(C#N)cc1,20.97
N#Cc1ccc(-c2ccc(-c3cnc(-c4c[nH]c5cccc(C#N)c45)nc3-c3ccc(C#N)cc3)cc2)cc1,18.79
N#Cc1ccc(-c2ccc3c(-c4cc(-c5cccc(-c6ccc(C#N)cc6)n5)cc(-c5ccc(C#N)cc5)n4)cc(-c4ccc(C#N)cc4)nc3c2)cc1,16.64
N#Cc1ccc(-c2cc(C#N)cc(-c3nc(-c4cc(-c5ccc(C#N)cc5)nc(-c5ccc(C#N)cc5)n4)c4ccc(C(F)(F)F)nc4n3)c2)cc1,15.5
N#Cc1cc(C#N)cc(-c2cc(C#N)c3[nH]c(=N)c(C#N)c(-c4ccc(-c5cnc(C#N)cc5C#N)cc4)c3c2)c1,25.81
COc1cc(Cn2ncc3c(-c4cc(-c5ccc(C#N)cc5)nc(-c5ccc(C#N)cc5)n4)nc(-c4ccc(C#N)cc4C=CC#N)nc32)cc(OC)c1,24.66
CN1CCN(CC2Cc3nc(C#N)cc(-c4ccc(-c5cc(F)ccc5C#N)cc4)c3O2)CC1,20.21
N#Cc1ccc(-c2ccc(-c3cc(C#N)nc4cc(-c5cnc(C#N)nc5)ccc34)cc2)cc1,9.93
N#Cc1ccc(-c2cc(-c3ccc(C#N)nc3)nc(-c3cc(C#N)nc(-c4ccccc4C#N)c3)c2)cn1,20.03
N#Cc1ccc(-c2cc(C#N)cc(-c3cc(C#N)cc(-c4ccc(F)c(C#N)c4)n3)c2)cc1,15.92
N#Cc1ccc(-c2nc(-c3cn(CCN4CCOCC4)c4cc(C#N)c(C#N)cc34)ncc2C#N)cc1,13.88
N#Cc1ccc(-c2nc(-c3c(C#N)cnc4c(-c5cncc(C#N)n5)cc(-c5cccc(C#N)n5)nc34)ccc2C#N)cc1,26.05
Cc1ccc2cc(-c3ccc(-c4ccc(C#N)nc4)nc3)cc(-c3cc(C#N)cc(-n4cc(C#N)c(-c5ccc(C#N)cc5)n4)c3)c2n1,26.49
CCc1nc(C#N)cc2c(-c3cc[nH]c(=Nc4ccc(C#N)cc4)c3)c(-c3ccc(C#N)cc3)nn12,20.31
CCCc1nc(-c2cccc(C#N)n2)nc(-c2nc(C#N)nc(N3CCOCC3)n2)n1,15.25
CN(CCF)C1CCC(N2c3nc(C#N)nc(-c4ccc(-c5ccc(C#N)cc5)cc4)c3N(C#N)C2(C)C)CC1,26.99
N#Cc1ccc(-c2ccc(-c3cc(-c4ccc(C#N)nc4)c4nc(-c5ccc(C#N)cc5)ccc4c3)cn2)cc1,17.64
CN1CCC2(CC1)CN(c1ccccc1)c1c2c(-c2ccc(C#N)cc2)[nH]c(=N)c1C#N,30.36
N#Cc1ccc(-c2cc(C#N)c3c(oc4ccc(C#N)cc43)c2C#N)cc1,17.07
COC(=O)c1ccc(C#N)c(-c2cccc(-c3nc(CC(N)=O)nc(-c4cc(C#N)cc(-c5cccc(C#N)c5)c4)n3)c2)c1,24.84
