SMILES,NLL
N#Cc1cccc(-c2ccc(-c3nc(-c4ccc(C#N)c(C#N)c4)nc(-c4c(F)c(F)c(C#N)c(F)c4F)n3)cc2)n1,16.37
N#Cc1cccc(-c2cc(-c3cc(F)c(C#N)c(C#N)c3)c(C#N)c(=N)[nH]2)n1,14.2
CCc1cc(C#N)nc(-c2nc(-c3cnc(OC(C)C)c(C#N)c3)nc(N3CC(N(C)C)C3)n2)c1,19.54
N#Cc1ccc(-c2ccc(-c3cc(C#N)nn3-c3ccccc3C#N)nc2)cc1,14.76
CC(C)(C)c1ccc2c(-c3ccc(-c4cc(C#N)n(-c5ccc(-c6ncc(-c7ccc(C#N)cc7)s6)c(F)c5F)n4)c(C#N)n3)ccc(C#N)c2c1,29.32
N#Cc1cc(-c2nc(-c3ccccc3OC(F)(F)F)nc(N3CC4CC3C4)n2)nc(N)c1C#N,17.52
COc1nc(-c2nc(-c3ccc(C#N)cc3)nc(-c3ccc(C#N)cc3)n2)ccc1-n1nc(-c2ccc(Cl)cc2)cc1C#N,19.7
N#Cc1cccc(-c2ccc(-c3nc(-c4csc(-c5cc(-c6ccc(Cl)c(C#N)c6)on5)n4)nc(-c4c(F)c(F)c(C#N)c(F)c4F)n3)cc2C#N)c1,35.01
Cn1c(-c2cnccc2-c2cccc(C#N)c2)nc(C#N)c1-c1cnc(-c2ccc(-c3ccc(C#N)cc3)cc2)c(-c2ccc(F)cc2)n1,23.42
N#Cc1ccc(-c2cccc(-n3cc(-c4cccc(-c5ccc(-c6ccc(C#N)nc6)c(C#N)c5)n4)c(C#N)n3)c2)cc1,22.19
CC(CC#N)n1nc(C#N)nc1-c1cnc(-c2c(F)cc(C#N)cc2F)c(C#N)c1,17.15
Cc1nc(-c2ccc(-c3ccc(C#N)cc3)c(C#N)c2)c(C#N)cc1-c1ccc(-c2cc(C#N)c(F)c(C#N)c2)cn1,14.13
CCOc1ccc(Nc2nnc(-c3cc(F)cc(-c4cnc(-c5cnc(C#N)nc5)c(F)c4F)c3)nc2C#N)cc1,30.08
N#Cc1cccc(-c2cnn(-c3ccc(-c4cc(C#N)c(-c5ccnc(-c6ccc(C#N)c(C#N)c6)n5)c(C#N)n4)cc3F)c2)n1,23.25
CN1CCN(c2nc(-c3ccc(OCCOc4ccc(C#N)c(C#N)c4)c(C#N)c3)nc(-c3c[nH]c(=N)c(C#N)c3)n2)CC1,30.45
Cc1cc(C2(NC(=O)c3nn(-c4ccc(C#N)cc4Cl)c(-c4ncc(-c5cccc(C#N)c5)cc4Cl)c3C#N)CC(F)(F)C2)nc(C#N)n1,33.37
CC(=O)NCC1CN(c2ccc(N3CCN(C(=O)CCn4c(C#N)nc(-c5ccc(-c6ccc(C#N)cc6)cc5)c4-c4ccc(C#N)cc4)CC3)c(F)c2)C(=O)O1,27.49
N#Cc1ccc(-c2ccnc(Cl)n2)cc1-c1ccc(-c2ccc(N)c(C#N)n2)c(F)c1,16.76
N#Cc1nc(-c2ccc(-c3cnco3)c(C#N)c2)cc(-c2ccc(-c3nc(C#N)c(C#N)nc3C#N)cn2)n1,17.38
N#Cc1ccc(-c2cc(N3CC4C(F)C4C3)nc(-c3cnc(OC(CF)CF)c(C#N)c3)n2)cc1F,20.19
N#Cc1cc(-c2nc(-c3cccc(OC(F)F)n3)nc(N3CC4CC3C4)n2)nc(C#N)c1C#N,18.1
N#Cc1ccc(-c2ccc(-c3ccc(-c4nc(-c5ccc(-c6ccc(C#N)c(C#N)c6)nc5)cc(N5CCOCC5)c4C#N)cc3)cc2)nc1,27.36
CC(C)(C)OC(=O)ON1c2ccc(C#N)nc2-c2c(-c3nc(C#N)cc(-c4ccc(C#N)o4)n3)c(C#N)c(C#N)c(C#N)c2C1(C)C,32.08
N#Cc1ccn(-c2cc(-c3nc(C#N)nn3-c3ccc(NC4CC4)cc3)ncn2)c1,31.28
N#Cc1ccc(-n2ncnc2C(=Cc2ccc(-c3ccc(C#N)c(C#N)c3)cc2)c2ccc(-c3ccc(C#N)nc3)nc2)cc1,33.65
N#Cc1ccc(-c2n[nH]c(-c3cccc(-c4ccc(-c5nc6c(C#N)cccc6[nH]5)cc4)c3)n2)cc1,17.35
N#Cc1ccc(-c2ccc(-c3c(C#N)c(Sc4ccc(C#N)c(C#N)c4)[nH]c(=N)c3C#N)cc2)cc1,12.39
N#Cc1cc(-c2nc(C3CC3)nc(N3CCC(C#N)CC3)n2)cnc1-c1ccc(F)cc1,17.82
N#Cc1nc(-c2ccc(-c3nc(-c4c(F)c(F)c(C#N)c(F)c4F)nc(-c4ccncc4)c3C#N)c(F)c2F)cnc1N,24.33
N#Cc1nccc(-c2ccc(-c3nc(N4CC5CCC(C4)O5)nc(-c4ccc(-c5ccc(C#N)c(C#N)c5)c(C#N)c4)c3C#N)nn2)n1,24.38
Cn1nc(C#N)nc1-c1cnc(-c2ccc(Cl)cc2)c(C#N)c1,9.74
N#Cc1cccc(-c2ncc(-c3ncc(-c4cccc(C#N)n4)cn3)cc2C#N)c1,13.66
Cc1ncc(-c2nc(-c3cc(F)cc(C#N)n3)nc(N3CC4CC3C4)n2)cc1C#N,11.55
C#CCSc1nc(-c2c3ccccc3c(C#N)c3cc(C)ccc23)nn1-c1ccccc1,28.63
CCN1CCN(c2nc(-c3ccc(C#N)c(C#N)c3)nc(-c3ccnc(C#N)n3)n2)CC1,15.53
N#Cc1ccc(-c2cc(-c3nc(=N)c(C#N)c(-c4ccccc4F)[nH]3)c(-c3ccc(C#N)cc3)nn2)cc1,24.5
Cn1c(C#N)cc(-c2ccc(-c3ncc(Br)c(C#N)n3)cc2)c(C#N)c1=O,26.7
N#Cc1ccc(-c2ccc(-c3ncc(C#N)n3-c3ccc(-c4nc(-c5ccc(-c6ccc(Cl)c(Cl)c6)c(C#N)c5)nc(C#N)c4N)cc3)nc2)cc1,24.0
COc1nc(-c2c(F)c(F)c(C#N)c(F)c2F)cc(-c2ccc(C#N)c(-c3ncc(C#N)n3C)c2F)c1C#N,27.78
N#CCCCCCn1c(C#N)cnc1-c1cnc(-c2ncc(C#N)s2)c(C#N)c1,28.82
N#Cc1cccc(-c2cccc(CCc3nc(-c4cccc(C#N)c4)nc(-c4cccc(C#N)n4)n3)c2)c1,22.26
COc1cc(-c2ccc(C#N)nc2)c(F)cc1-n1c(C#N)cc(-c2ccc(-c3ccc(C#N)nc3)nc2)c1C#N,19.79
CC(C)Oc1ncc(-c2nc(-c3nc(C#N)ccc3C#N)nc(N3CCOCC3)n2)cc1C#N,10.11
N#Cc1cccc(-c2ccc(-c3nc(=Nc4cc(F)c(C#N)c(C#N)c4)[nH]c(=N)[nH]3)cn2)c1,21.76
Cc1nc(C#N)ncc1-c1nc(-c2cc(C#N)c(C3CC3)c(C#N)n2)nn1Cc1ccnc(C#N)c1,27.28
N#Cc1ccc(-c2nc(C#N)c(C#N)nc2-c2cccc(-n3cc(C#N)ccc3=O)c2)cc1,15.81
