SMILES,NLL
CC(=O)Nc1ccc(N=Cc2c(O)ccc3ccccc23)cc1O,15.28
CCC(C)CC(C(=O)Nc1ccccc1OC)N1C(=O)c2ccccc2C1=O,33.42
N#Cc1c(N)[n+]([O-])c2ccccc2[n+]1[O-],14.55
CCCn1c(=O)c2[nH]c(-c3ccc(N4CCN(c5ccc(OC)cc5F)CC4)cn3)nc2n(CCC)c1=O,28.17
c1cc(-c2cc[n+](-c3nc(-[n+]4ccc(-c5ccncc5)cc4)nc(-[n+]4ccc(-c5ccncc5)cc4)n3)cc2)ccn1,3.14
Nc1ccc2c(c1)C(=O)c1ccc(Nc3nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc1C2=O,4.42
N#Cc1c(F)c(F)c(-c2nc(-c3c(F)c(F)c(C#N)c(F)c3F)nc(-c3c(F)c(F)c(C#N)c(F)c3F)n2)c(F)c1F,3.82
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cc5)cc4)nc(-c4ccc(-c5ccc(C#N)cc5)cn4)n3)cc2)cc1,11.48
COc1cc2c(cc1OC)CN(C=Nc1cc(C#N)c(F)c(NS(=O)(=O)c3ccc(F)cc3)c1F)CC2,26.64
N#Cc1cncc(-c2c[nH]c(=N)c(-c3n[nH]c(C(F)(F)F)n3)c2)c1,23.87
N#Cc1ccc(-c2nc(-c3ccc(C#N)cc3)nc(-c3ccc(C#N)cc3)n2)cc1,3.4
COc1ccc(NC(=O)C=Cc2cc(O)c(O)c(O)c2)c(OC)c1,25.48
O=CN1CCN(C=Nc2ccnc(N=CN3CCN(C=O)CC3)n2)CC1,6.87
CCOCc1c(-c2ccc(-c3ccc(C#N)cc3)cc2)nc(-c2ccc(C#N)cc2)nc1-c1cc[nH]c(=N)n1,23.75
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cc5)cc4)nc(-c4cc(C#N)cc(C#N)c4)n3)cc2)cc1,13.32
N#Cc1cccc2c(C=C3Oc4cccc(O)c4C(=O)C3=O)cn(Cc3ccc(-c4ccccc4)cc3)c12,33.63
O=CN1CCN(C=Nc2nc(N=CN3CCN(C=O)CC3)nc(N=CN3CCN(C=O)CC3)n2)CC1,3.29
Cc1ccc(S(=O)(=O)c2noc(CNc3ccc(F)cc3)n2)cc1,25.4
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cn5)nc4)nc(-c4ccc(-c5ccc(C#N)cn5)nc4)n3)cn2)nc1,4.39
N#Cc1ccc(C2N=C(c3ccc(F)cc3)C3CCc4c(c(O)n(-c5ccc(C#N)c(C(F)(F)F)c5)c4O)C32)cc1,30.09
N#Cc1ccc(-c2nc(-c3ccc(-c4ncc(C(F)(F)F)cn4)cc3)nc(-c3ccc4nc(-c5cccnc5)ccc4c3)n2)cc1,28.58
N#Cc1c(F)c(F)c(C#N)c(F)c1F,8.17
N#Cc1ccc(-c2ccc(-c3ccc(-c4nc(-c5ccc(-c6nc(-c7ccc(C#N)cc7)nc7ccccc67)cc5)oc4-c4ccccc4)cc3)cc2)cc1,22.86
Cc1ccc2cnc(-c3ccc(-c4cc(-c5cc(F)cc(C#N)c5)cc(-c5ccc(C#N)cc5)n4)cc3)nc2c1C#N,30.09
CCCCCOC(=O)N1CCN(C(=O)C(CCC(=O)O)NC(=O)c2cc(N3CCN(CCCCCC(=O)OC)CC3)cc(-c3ccccc3)n2)CC1,35.02
N#Cc1c(N)c(Cl)c(Cl)c(C#N)c1Cl,13.91
C#CCN1c2ccccc2S(=O)(=O)c2ccc(-c3nc4cccc(C#N)c4n3-c3ccccc3)cc21,37.84
N#Cc1ccc(NC(=O)c2ccc(-c3noc(C(F)(F)F)n3)cc2)c(N2CCNCC2)c1,24.75
CCc1ccc(-c2nc(-c3ccc(C#N)cc3)nc(-c3ccc(C#N)cc3C)n2)cc1,20.77
Clc1nc(Cl)nc(-c2ccc(-c3cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)c3)cc2)n1,3.74
Nc1cc(O)c(N=Cc2ccc(-c3nc(-c4ccc(C=Nc5cc(O)c(N)cc5O)cc4)nc(-c4ccc(C=Nc5cc(O)c(N)cc5O)cc4)n3)cc2)cc1O,4.31
Clc1nc(Cl)nc(-c2ccc(-c3ccccc3OC3CCNCC3)cc2)n1,20.95
CN1CCN(C=Nc2ccc(-[n+]3cc([O-])on3)o2)CC1,26.5
N#Cc1ccc(-c2nc(C=NN=c3[nH]c(-c4ccc(C#N)cc4)cs3)nc(-c3ccc(C#N)cc3)n2)cc1,14.45
CSc1ccc(C=CC(=O)C=Cc2ccc(C=Cc3ccc(C#N)cc3)cc2)cc1F,26.5
Cn1cncc1C(O)(C#Cc1cccc(C#N)c1)c1cc(C#N)cc(C#N)c1,25.94
N#Cc1cccc(-c2nc(-c3cccc(C#N)n3)nc(-c3cccc(C#N)n3)n2)n1,3.03
N#Cc1cncc(-c2nc(-c3cncc(C#N)c3)nc(-c3cncc(C#N)c3)n2)c1,3.48
N#Cc1ccc(-c2ccc(C(=O)N(CCN3CCOCC3)c3cc(C(F)(F)F)cc4cccnc34)cc2)cc1,31.04
N=c1nn[nH]n1N=Cc1cn(-c2ccccc2)nc1-c1ccccc1,18.24
N#Cc1ccc(-c2nc(Cc3ccc(N)cc3)cc(-c3nc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)nc(-c4c(F)c(F)c(C#N)c(F)c4F)n3)n2)cn1,34.48
Cc1ccc(Cc2nn3c(-c4ccc(C#N)cc4)nc(-c4cccc(C#N)n4)nc3c2-c2ccc(-c3cccc(C#N)c3)cc2)cc1,23.57
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc5c(ccc6ccccc65)c4)nc(-c4ccccc5c(C#N)c6ccccc6c4-5)n3)cc2)cc1,30.01
Cc1ccc(S(=O)(=O)Nc2ccc3nc(N(Cc4ccccc4)C4CCN(C(=O)N5CCCC5)CC4)ccc3c2)cc1,33.3
O=C1C=C(c2ccncc2)OC12CCNCC2,26.25
CCn1nnc(C2OC(n3cnc4c(=N)[nH]cnc43)C(O)C2O)n1,18.28
N#Cc1c2ccccc2c(-c2nc(-c3c4ccccc4c(C#N)c4ccccc34)nc(-c3c4ccccc4c(C#N)c4ccccc34)n2)c2ccccc12,3.92
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cc5)cc4)nc(-c4ccc(-c5ccc(C#N)cc5)cc4)n3)cc2)cc1,3.46
N#Cc1ccc(-c2ccc(-c3nc(-c4cccc(C#N)n4)nc(-c4cccc5cc[nH]c45)n3)cc2)nc1,20.39
CN(C)c1nc(N=CN2CCN(C=O)CC2)nc(N=CN2CCN(C=O)CC2)n1,10.65
N#Cc1c(F)c(F)c(-c2nc(-c3ccccc3F)nc(-c3c(F)c(F)c(C#N)c(F)c3F)n2)c(F)c1F,13.34
COc1cc(C=NCc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,18.27
Cc1sc2nc(-[n+]3ccc(-c4ccncc4)cc3)nc(-[n+]3ccc(-c4ccncc4)cc3)c2c1C,13.45
N#Cc1ccc(-c2nc(-c3cccc(N)c3)nc(-c3c(F)c(F)c(C#N)c(F)c3F)n2)cc1,15.59
