SMILES,NLL
O=S1(=O)C2CC3C=CC(C2)(O3)N1CCc1ccccc1,27.4
CCN(C(=O)c1cc2ccc(-n3cnnc3C)cc2c(-c2ccccc2)n1)c1ccc(OC)nc1,40.24
CC1NC(=O)c2ccc(Nc3nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc2NC1=O,7.76
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cc5)cc4)nc(-c4ccc(-c5ccc(C#N)c(C#N)c5)c(Cl)c4)n3)cc2)cc1,19.42
N#Cc1cncc(-c2cc(N3CC4CC3O4)nc(-n3nc(F)c4cc(C(F)F)cnc43)n2)c1,32.03
N#Cc1cncc(-c2nc(-c3cncc(C#N)c3)nc(-c3cncc(C#N)c3)n2)c1,4.24
C=CCC12CCN(Cc3ccccc3)C1C(=O)N(Cc1ccc(-c3ccccc3)cc1)c1ccccc12,26.01
COc1ccc2c(-c3cc(-c4ccc(C#N)cc4)nc(-c4ccc(C#N)cc4)n3)c[nH]c2c1,20.13
Cc1ccc(C(=O)N(C)C)cc1C1CC(C)N1c1ccnc(-c2ccc(F)c(C(F)(F)F)c2)n1,46.4
Nc1ccc2c(c1)C(=O)c1ccc(Nc3nc(Nc4ccc5c(c4)CCCNC5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc1C2=O,9.7
CCc1nc(C2CCCCN2C(=O)c2cc(C3CC3)nc3ccc(C)cc23)no1,30.94
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(C#N)cc4)nc(-c4ccc(Cc5ccccc5)cc4)n3)cc2)cc1,18.33
Cc1ccc(-c2nc(=O)c(C#N)c(-c3ccc(C#N)cc3)[nH]2)c(C)c1,19.69
CCOC(=O)C(C#N)C(C#N)c1nc2ccccc2nc1N1CCCC(C(F)(F)F)C1,31.85
COC(=O)C1=C(C)N=C2Sc3ccccc3N2C1c1ccc(C(=O)OC)cc1,25.03
CC(C)N1C(=O)N(Cc2cc(Oc3ccccc3F)ncn2)C(Cc2cccc(F)c2)C(O)C1Cc1cccnc1,39.86
N#CC=Cc1cc(C(Br)Br)nc(C=CC#N)n1,9.03
Clc1ncc(-c2ccc(-n3ccnc3)cc2)cn1,21.31
CCC1CN2C(=O)COCC2C(=O)c2ccc(Nc3nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc21,21.37
Nc1ccc2c(c1)C(=O)c1ccc(Nc3cc(Nc4ccc5c(c4)C(=O)NC5)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc1C2=O,13.62
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ncnc(-c6c(F)cccc6Cl)n5)cc4)nc(-c4csc(C#N)c4)n3)cc2)nc1,35.37
C#CCOc1ncc(N=Cc2ccc(Cl)cc2Cl)c(C#N)c1C#N,21.81
COc1cc(OC)c(F)c(-c2ccnc(C(=O)N3CCc4c(C#N)cc5cc(Cl)ccc5c43)c2)c1F,45.08
Cc1nn(C)c(Cl)c1CNCc1c(C)nn(Cc2c(Cl)cccc2Cl)c1Cl,29.29
Clc1ccc(-c2nnc(CN3CCN(C(c4ccccc4)c4ccccc4)CC3)o2)cc1,20.76
N#Cc1nccc(-c2cnc(C3CCCN3c3[nH]cnc(=N)c3C#N)nc2-c2ccccc2)n1,25.35
N#CC=Cc1ccc(-c2ccc(C#N)c(-c3ccc(C#N)cc3)c2)cn1,18.24
N#Cc1cccc(-c2ccc(-c3cc(-c4cccc(C#N)n4)nc(-c4cccc(C#N)n4)n3)cc2)n1,13.44
CNC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3ccccc3n(CCN(C)C)c1=O)N2,25.64
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)c(F)c5)cc4)nc(-c4ccc(-c5ccc(C#N)cn5)nc4)n3)cn2)nc1,10.87
Cc1ccc(-n2[nH]c(C(Cl)(Cl)Cl)nc2=NC(=O)c2cc(C#N)ccc2Nc2ccc(C#N)cc2)cc1,25.49
N#Cc1cccc(-c2nc(-c3cccc(C#N)n3)nc(N3CC(F)C3)n2)n1,7.83
O=c1c2cc(-c3ccncc3)ccc2c(CCCO)nn1-c1ccc(Cl)cc1,26.69
C=CCc1ccc(C2CN=c3ccc(C(N)=O)cc3=N2)cc1,31.84
O=CN1CCN(C=Nc2ccnc(N=CN3CCN(C=O)CC3)n2)CC1,6.34
CC(C)CC(=O)c1cc(C(=O)CC(=O)c2ccc(C#N)cc2)c(O)cc1O,25.4
CNc1ncc(-c2cc(-c3cncc(C#N)c3)nc(C#N)n2)nc1C#N,20.59
O=c1[nH]c2ccc(N=Cc3cccc4c(O)cccc34)cc2[nH]1,28.08
N#Cc1ccc(Nc2cc(Nc3ccc4c(c3)C(=O)c3ccc(N)cc3C4=O)nc(Nc3ccc4c(c3)C(=O)c3ccc(N)cc3C4=O)n2)cc1,8.1
CN1CCCc2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cc5)cc4)nc(-c4ccc(-c5ccc(C#N)cn5)cc4)n3)cc21,18.96
N#Cc1ccc(-c2cc(-c3ccc(F)cc3)c3c(-c4ccc5ccccc5c4)nc(C(=O)NN)nc3n2)cc1,31.34
CCN(CCCl)c1ccc(C=Nc2nc(Nc3ccc4c(c3)C(=O)c3ccc(N)cc3C4=O)c(N)cc2O)cc1,13.9
Nc1ccc2c(c1)C(=O)c1ccc(Nc3ccnc(-c4ccc(F)c(F)c4)n3)cc1C2=O,15.94
Fc1ccc(N=c2nc(CCl)cc[nH]2)cc1F,20.11
N#Cc1ccc(-c2nc(-c3ccc(-c4nc(Cl)nc(Cl)n4)cc3)nc(-c3ccc(-c4ccc(C#N)cn4)nc3)n2)cc1,14.79
N#CC(C#N)=c1ccc(=C(C#N)c2nc(C(C#N)=c3ccc(=C(C#N)C#N)cc3)nc(C(C#N)=c3ccc(=C(C#N)C#N)cc3)n2)cc1,5.69
Cn1c(-c2ccc(-c3ccc(C#N)cn3)cc2)nc(-c2ccc(C#N)cc2)c1-c1ccccc1,11.63
CC1(C)Oc2[nH]cnc(=N)c2NC1c1cccc(C#N)c1,21.79
N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cn5)nc4)nc(-c4ncccc4F)n3)cc2)cc1,13.74
N#Cc1ccc(-c2nc(-c3ccc(-c4ccnc(Cl)n4)cc3)nc(-c3ccc(-c4cccc(C#N)c4)nc3)n2)cc1,19.07
N#Cc1cnc(C#N)c(N2CCN(c3cc(Cl)c(C#N)cn3)CC2)n1,27.73
Cc1ccc(C(=O)C=Cc2nc(-[n+]3ccc(-c4ccncc4)cc3)nc(-[n+]3ccc(-c4ccncc4)cc3)n2)cc1,18.15
N#Cc1cccc(-c2nc(-c3ccnc(Cl)n3)nc(-n3cnc4ccccc43)n2)n1,16.53
N#CC=Cc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(C#N)cc3)c(F)cc2F)n1,17.93
N#Cc1cc(C#N)cc(Oc2c(C#N)cccc2C#N)c1,14.56
N#Cc1ccc(-c2cc(C(=O)O)cc(-c3nc(-c4ccccc4)cs3)c2)cc1,19.45
CN(C(=O)Cn1nnc2ccccc21)c1ccc(-c2cccc(C#N)c2)cc1,27.18
N#Cc1ccc(-c2csc(-c3ccc(C=Cc4nc(-c5ccc(C#N)cc5)ns4)cc3)n2)cc1,22.6
Cn1c(C=Cc2ccccc2)nc(C#N)c1NCc1ccc(C#N)cc1,16.09
C#CCCC(N=c1cc2ccc(=NC(=O)C=Cc3ccc(S(C)(=O)=O)cc3)[nH]c2c[nH]1)c1ccccc1,54.18
N#Cc1cncc(-c2nccc(C#N)n2)c1,9.28
CC(C)=Cc1ccccc1-c1c(C(=O)C(C)C)c(O)c(O)n1-c1ccc(-c2ccoc2)cc1,21.54
N#Cc1ccc(-c2ccc(-c3nc(-c4ccccc4)nc(-c4ccc(-c5ccc(C#N)cc5)cc4)n3)cc2)cc1,11.08
N#Cc1ccc(NC(=O)c2cccc(CN3CCN(c4nc(-c5cc(F)c(O)cc5O)cc(N(CCBr)CCBr)n4)CC3)c2)cc1,48.42
Cc1ccn2c(C#N)c3nc(Oc4ccc(-c5cncc(C#N)c5)cc4)c(C#N)cc3c2n1,29.41
